artificialkey,adsponserid,teamid,isapproved,dynamicimageid
147,8,110500,1,900
148,10,110500,1,1182
149,24,110500,1,1239
150,173,110500,1,0
151,50,7,1,0
152,221,7,1,0
153,334,7,1,0
154,216,7,1,0
155,5,7,1,1208
156,5,7,1,1209
157,221,7,1,0
158,5,7,1,1208
159,334,7,1,0
160,216,7,1,0
161,0,-1,1,0
162,8,100409,1,109
163,10,100409,1,870
164,8,100409,1,494
165,10,100409,1,871
166,8,100409,1,152
167,10,100409,1,870
168,8,100409,1,109
169,10,100409,1,494
170,24,100409,1,1238
171,173,100409,1,0
172,6,34,1,1076
173,6,34,1,1077
174,6,34,1,32
175,6,34,1,695
176,6,34,1,879
177,6,34,1,1077
178,6,34,1,1078
179,6,34,1,695
180,24,34,1,1239
181,173,34,1,0
182,6,110329,1,404
183,6,110329,1,409
184,6,110329,1,408
185,6,110329,1,904
186,6,110329,1,903
187,6,110329,1,487
188,6,110329,1,405
189,6,110329,1,1223
190,24,110329,1,1238
191,173,110329,1,0
192,4,110636,1,1186
193,3,110636,1,5
194,5,110636,1,500
195,5,110636,1,84
196,4,110636,1,92
197,3,110636,1,1251
198,5,110636,1,820
199,4,110636,1,1188
200,24,110636,1,1239
201,173,110636,1,0
202,38,0,1,0
203,37,0,1,0
204,49,0,1,0
205,39,0,1,0
206,295,0,1,0
207,10,0,1,1135
208,40,0,1,0
209,36,0,1,0
210,68,0,1,0
211,38,-1,1,0
212,14,-1,1,0
213,37,-1,1,0
214,20,-1,1,0
215,49,-1,1,0
216,210,-1,1,0
217,4,28,1,997
218,6,28,1,1074
219,4,28,1,1073
220,5,28,1,558
221,4,28,1,998
222,4,28,1,178
223,5,28,1,1000
224,4,28,1,997
225,24,28,1,1238
226,173,28,1,0
227,4,485,1,1096
228,5,485,1,269
229,7,485,1,115
230,10,485,1,1189
231,5,485,1,269
232,7,485,1,115
233,9,485,1,1190
234,5,485,1,269
235,24,485,1,1239
236,173,485,1,0
237,2,166,1,677
238,5,166,1,1174
239,1,166,1,1175
240,10,166,1,487
241,2,166,1,1176
242,1,166,1,1079
243,5,166,1,171
244,10,166,1,1177
245,24,166,1,1239
246,173,166,1,0
247,5,576,1,330
248,3,576,1,323
249,4,576,1,1223
250,9,576,1,328
251,10,576,1,704
252,6,576,1,326
253,2,576,1,1165
254,7,576,1,1074
255,24,576,1,1239
256,173,576,1,0
257,6,1832,1,278
258,6,1832,1,300
259,6,1832,1,557
260,6,1832,1,301
261,6,1832,1,908
262,6,1832,1,1191
263,6,1832,1,711
264,4,1832,1,910
265,24,1832,1,1239
266,173,1832,1,0
267,50,8,1,0
268,343,8,1,0
269,297,8,1,0
270,342,8,1,0
271,343,8,1,0
272,297,8,1,0
273,342,8,1,0
274,343,8,1,0
275,297,8,1,0
276,342,8,1,0
277,0,-1,1,0
278,50,9,1,0
279,74,9,1,0
280,353,9,1,0
281,115,9,1,0
282,194,9,1,0
283,4,9,1,1274
284,4,9,1,317
285,350,9,1,0
286,351,9,1,0
287,352,9,1,0
288,50,10,1,0
289,103,10,1,0
290,190,10,1,0
291,214,10,1,0
292,223,10,1,0
293,215,10,1,0
294,33,10,1,0
295,41,10,1,0
296,214,10,1,0
297,223,10,1,0
298,50,11,1,0
299,102,11,1,0
300,6,11,1,148
301,5,11,1,839
302,53,11,1,0
303,5,11,1,839
304,159,11,1,0
305,201,11,1,0
306,102,11,1,0
307,6,11,1,148
308,50,13,1,0
309,306,13,1,0
310,310,13,1,0
311,297,13,1,0
312,307,13,1,0
313,253,13,1,0
314,309,13,1,0
315,338,13,1,0
316,310,13,1,0
317,311,13,1,0
318,38,73,1,0
319,37,73,1,0
320,24,73,1,110
321,131,73,1,0
322,10,73,1,141
323,5,73,1,29
324,24,73,1,110
325,8,73,1,56
326,131,73,1,0
327,6,73,1,1134
328,0,-2,1,0
329,8,112172,1,418
330,5,112172,1,1168
331,4,112172,1,1223
332,8,112172,1,527
333,8,112172,1,877
334,10,112172,1,418
335,6,112172,1,686
336,10,112172,1,876
337,24,112172,1,1238
338,173,112172,1,0
339,280,243,1,0
340,305,243,1,0
341,6,243,1,1045
342,1,243,1,825
343,6,243,1,1028
344,6,243,1,58
345,6,243,1,1265
346,6,243,1,1027
347,0,-2,1,0
348,0,-2,1,0
349,0,-2,1,0
350,0,-2,1,0
351,0,-2,1,0
352,0,-2,1,0
353,1,25,1,872
354,1,25,1,162
355,1,25,1,543
356,1,25,1,150
357,1,25,1,873
358,1,25,1,1162
359,1,25,1,545
360,1,25,1,167
361,24,25,1,1238
362,173,25,1,0
363,5,10030,1,525
364,5,10030,1,710
365,5,10030,1,1086
366,5,10030,1,1085
367,5,10030,1,1084
368,5,10030,1,1192
369,5,10030,1,1193
370,5,10030,1,1194
371,24,10030,1,1239
372,173,10030,1,0
373,0,-2,1,0
374,0,-2,1,0
375,0,-2,1,0
376,0,-2,1,0
377,0,-2,1,0
378,0,-2,1,0
379,0,-2,1,0
380,0,-2,1,0
381,0,-2,1,0
382,0,-2,1,0
383,6,48,1,157
384,292,48,1,0
385,6,48,1,159
386,6,48,1,165
387,6,48,1,166
388,5,48,1,741
389,5,48,1,1121
390,5,48,1,1252
391,5,48,1,740
392,8,48,1,1122
393,8,165,1,257
394,8,165,1,911
395,8,165,1,1223
396,8,165,1,261
397,8,165,1,1072
398,8,165,1,504
399,8,165,1,1199
400,8,165,1,1200
401,24,165,1,1239
402,173,165,1,0
403,1,110502,1,1195
404,1,110502,1,1196
405,1,110502,1,1197
406,1,110502,1,312
407,1,110502,1,1198
408,1,110502,1,1195
409,1,110502,1,1196
410,1,110502,1,1197
411,24,110502,1,1239
412,173,110502,1,0
413,50,18,1,0
414,88,18,1,0
415,24,18,1,110
416,5,18,1,922
417,24,18,1,1202
418,226,18,1,0
419,332,18,1,0
420,292,18,1,0
421,24,18,1,1259
422,333,18,1,0
423,6,10029,1,179
424,8,10029,1,680
425,6,10029,1,549
426,8,10029,1,681
427,6,10029,1,548
428,8,10029,1,1163
429,6,10029,1,935
430,8,10029,1,1164
431,24,10029,1,1238
432,173,10029,1,0
433,5,36,1,688
434,5,36,1,558
435,8,36,1,1042
436,8,36,1,942
437,8,36,1,1089
438,8,36,1,939
439,8,36,1,1221
440,8,36,1,1222
441,24,36,1,1238
442,173,36,1,0
443,8,160,1,263
444,8,160,1,368
445,8,160,1,365
446,8,160,1,693
447,8,160,1,363
448,8,160,1,366
449,8,160,1,365
450,8,160,1,263
451,24,160,1,1239
452,173,160,1,0
453,5,159,1,468
454,8,159,1,469
455,10,159,1,472
456,4,159,1,471
457,5,159,1,468
458,6,159,1,473
459,10,159,1,472
460,4,159,1,471
461,24,159,1,1239
462,173,159,1,0
463,8,175,1,529
464,8,175,1,412
465,24,175,1,110
466,8,175,1,1172
467,8,175,1,413
468,6,175,1,542
469,9,175,1,416
470,8,175,1,1263
471,24,175,1,1238
472,173,175,1,0
473,5,38,1,1169
474,8,38,1,880
475,6,38,1,1070
476,10,38,1,1169
477,5,38,1,1171
478,2,38,1,174
479,4,38,1,881
480,6,38,1,1170
481,24,38,1,1238
482,173,38,1,0
483,50,19,1,0
484,51,19,1,0
485,324,19,1,0
486,79,19,1,0
487,87,19,1,0
488,357,19,1,0
489,358,19,1,0
490,343,19,1,0
491,268,19,1,0
492,206,19,1,0
493,0,-1,1,0
494,50,110,1,0
495,335,110,1,0
496,336,110,1,0
497,8,110,1,1126
498,337,110,1,0
499,338,110,1,0
500,339,110,1,0
501,226,110,1,0
502,240,110,1,0
503,338,110,1,0
504,0,-1,1,0
505,50,1943,1,0
506,6,1943,1,812
507,6,1943,1,817
508,8,1943,1,1110
509,22,1943,1,0
510,8,1943,1,1276
511,69,1943,1,0
512,8,1943,1,1112
513,8,1943,1,621
514,8,1943,1,1114
515,0,-1,1,0
516,297,52,1,0
517,5,52,1,142
518,5,52,1,143
519,5,52,1,1272
520,5,52,1,1273
521,5,52,1,741
522,5,52,1,1121
523,5,52,1,1252
524,5,52,1,740
525,8,52,1,1122
526,38,219,1,0
527,37,219,1,0
528,6,219,1,1223
529,5,219,1,4
530,6,219,1,10
531,5,219,1,11
532,6,219,1,14
533,5,219,1,18
534,6,219,1,1223
535,5,219,1,4
536,1,111434,1,744
537,2,111434,1,745
538,3,111434,1,746
539,4,111434,1,747
540,5,111434,1,748
541,5,111434,1,741
542,5,111434,1,1121
543,5,111434,1,1252
544,5,111434,1,740
545,8,111434,1,1122
546,0,-2,1,0
547,273,45,1,0
548,4,45,1,27
549,4,45,1,888
550,4,45,1,749
551,4,45,1,1225
552,5,45,1,741
553,5,45,1,1121
554,5,45,1,1252
555,5,45,1,740
556,8,45,1,1122
557,50,144,1,0
558,297,144,1,0
559,232,144,1,0
560,343,144,1,0
561,241,144,1,0
562,320,144,1,0
563,179,144,1,0
564,319,144,1,0
565,235,144,1,0
566,354,144,1,0
567,0,-1,1,0
568,8,1824,1,866
569,8,1824,1,102
570,8,1824,1,1206
571,8,1824,1,1161
572,8,1824,1,866
573,8,1824,1,102
574,8,1824,1,1206
575,8,1824,1,1161
576,24,1824,1,1238
577,173,1824,1,0
578,50,1796,1,0
579,8,1796,1,575
580,7,1796,1,1260
581,8,1796,1,1261
582,340,1796,1,0
583,8,1796,1,578
584,8,1796,1,1262
585,8,1796,1,575
586,8,1796,1,1261
587,8,1796,1,578
588,0,-1,1,0
589,6,580,1,953
590,5,580,1,955
591,4,580,1,956
592,6,580,1,953
593,5,580,1,955
594,4,580,1,956
595,6,580,1,953
596,5,580,1,955
597,24,580,1,1239
598,173,580,1,0
599,50,1925,1,0
600,276,1925,1,0
601,160,1925,1,0
602,344,1925,1,0
603,345,1925,1,0
604,160,1925,1,0
605,6,1925,1,94
606,345,1925,1,0
607,344,1925,1,0
608,276,1925,1,0
609,4,110588,1,1058
610,4,110588,1,716
611,4,110588,1,1179
612,4,110588,1,1056
613,4,110588,1,1057
614,4,110588,1,1054
615,4,110588,1,1180
616,4,110588,1,1179
617,24,110588,1,1239
618,173,110588,1,0
619,50,106,1,0
620,7,106,1,1248
621,8,106,1,1249
622,2,106,1,831
623,6,106,1,1250
624,7,106,1,1248
625,8,106,1,1249
626,2,106,1,831
627,6,106,1,1250
628,7,106,1,1248
629,0,-1,1,0
630,8,29,1,1103
631,8,29,1,1178
632,8,29,1,897
633,8,29,1,1103
634,8,29,1,1178
635,8,29,1,897
636,8,29,1,1103
637,8,29,1,1178
638,24,29,1,1239
639,173,29,1,0
640,38,236,1,0
641,37,236,1,0
642,6,236,1,615
643,6,236,1,21
644,10,236,1,1213
645,6,236,1,22
646,5,236,1,1214
647,5,236,1,23
648,49,236,1,0
649,39,236,1,0
650,38,234,1,0
651,37,234,1,0
652,297,234,1,0
653,1,234,1,616
654,6,234,1,618
655,6,234,1,619
656,6,234,1,122
657,49,234,1,0
658,39,234,1,0
659,295,234,1,0
660,6,55,1,1124
661,10,55,1,743
662,8,55,1,1233
663,9,55,1,751
664,6,55,1,1124
665,5,55,1,741
666,5,55,1,1121
667,5,55,1,1252
668,5,55,1,740
669,8,55,1,1122
670,9,189,1,753
671,9,189,1,1232
672,9,189,1,743
673,9,189,1,883
674,9,189,1,884
675,5,189,1,741
676,5,189,1,1121
677,5,189,1,1252
678,8,189,1,740
679,5,189,1,1122
680,7,206,1,1226
681,7,206,1,981
682,7,206,1,983
683,7,206,1,1227
684,7,206,1,1228
685,5,206,1,741
686,5,206,1,1121
687,5,206,1,1252
688,8,206,1,740
689,5,206,1,1122
690,5,110374,1,755
691,5,110374,1,756
692,5,110374,1,1237
693,5,110374,1,980
694,5,110374,1,755
695,5,110374,1,741
696,5,110374,1,1121
697,5,110374,1,1252
698,5,110374,1,740
699,8,110374,1,1122
700,8,50,1,1116
701,8,50,1,1118
702,8,50,1,1234
703,8,50,1,1235
704,8,50,1,1236
705,5,50,1,741
706,5,50,1,1121
707,5,50,1,1252
708,5,50,1,740
709,8,50,1,1122
710,10,531,1,60
711,10,531,1,61
712,10,531,1,62
713,10,531,1,66
714,10,531,1,61
715,10,531,1,70
716,10,531,1,60
717,10,531,1,73
718,24,531,1,1239
719,173,531,1,0
720,5,110556,1,180
721,5,110556,1,976
722,5,110556,1,974
723,5,110556,1,977
724,5,110556,1,46
725,5,110556,1,741
726,5,110556,1,1121
727,5,110556,1,1252
728,5,110556,1,740
729,8,110556,1,1122
730,4,1842,1,1012
731,4,1842,1,1013
732,4,1842,1,1230
733,4,1842,1,1014
734,4,1842,1,1231
735,5,1842,1,741
736,5,1842,1,1121
737,5,1842,1,1252
738,5,1842,1,740
739,8,1842,1,1122
740,38,245,1,0
741,37,245,1,0
742,5,245,1,989
743,297,245,1,0
744,6,245,1,992
745,5,245,1,993
746,24,245,1,1224
747,49,245,1,0
748,39,245,1,0
749,295,245,1,0
750,6,347,1,795
751,6,347,1,795
752,6,347,1,795
753,6,347,1,795
754,6,347,1,795
755,5,347,1,741
756,5,347,1,1121
757,5,347,1,1252
758,5,347,1,740
759,8,347,1,1122
760,1,110738,1,1271
761,7,110738,1,1254
762,8,110738,1,1255
763,9,110738,1,1257
764,2,110738,1,1253
765,5,110738,1,741
766,5,110738,1,1121
767,5,110738,1,1252
768,5,110738,1,740
769,8,110738,1,1122
770,50,14,1,0
771,312,14,1,0
772,313,14,1,0
773,314,14,1,0
774,315,14,1,0
775,343,14,1,0
776,317,14,1,0
777,312,14,1,0
778,313,14,1,0
779,315,14,1,0
780,6,54,1,809
781,6,54,1,1037
782,6,54,1,811
783,6,54,1,810
784,6,54,1,986
785,5,54,1,741
786,5,54,1,1121
787,5,54,1,1252
788,5,54,1,740
789,8,54,1,1122
790,4,111974,1,758
791,4,111974,1,1229
792,4,111974,1,759
793,4,111974,1,761
794,4,111974,1,762
795,5,111974,1,741
796,5,111974,1,1121
797,5,111974,1,1252
798,5,111974,1,740
799,8,111974,1,1122
800,8,1745,1,116
801,8,1745,1,117
802,8,1745,1,121
803,8,1745,1,127
804,297,1745,1,0
805,5,1745,1,741
806,5,1745,1,1121
807,5,1745,1,1252
808,5,1745,1,740
809,8,1745,1,1122
810,8,116009,1,771
811,6,116009,1,772
812,5,116009,1,773
813,255,116009,1,0
814,305,116009,1,0
815,8,116009,1,56
816,255,116009,1,0
817,305,116009,1,0
818,24,116009,1,1173
819,49,116009,1,0
820,8,116015,1,771
821,6,116015,1,772
822,5,116015,1,773
823,297,116015,1,0
824,338,116015,1,0
825,303,116015,1,0
826,299,116015,1,0
827,341,116015,1,0
828,296,116015,1,0
829,49,116015,1,0
830,8,116013,1,771
831,6,116013,1,772
832,5,116013,1,773
833,5,116013,1,24
834,119,116013,1,0
835,24,116013,1,110
836,30,116013,1,0
837,120,116013,1,0
838,5,116013,1,26
839,49,116013,1,0
840,8,132176,1,771
841,6,132176,1,772
842,5,132176,1,773
843,6,132176,1,1245
844,6,132176,1,1246
845,6,132176,1,1247
846,6,132176,1,1245
847,6,132176,1,1246
848,6,132176,1,1247
849,49,132176,1,0
850,8,116010,1,771
851,6,116010,1,772
852,5,116010,1,773
853,24,116010,1,110
854,326,116010,1,0
855,5,116010,1,210
856,24,116010,1,110
857,326,116010,1,0
858,5,116010,1,210
859,49,116010,1,0
860,8,116016,1,771
861,6,116016,1,772
862,5,116016,1,773
863,221,116016,1,0
864,334,116016,1,0
865,216,116016,1,0
866,5,116016,1,1208
867,5,116016,1,1207
868,5,116016,1,1209
869,49,116016,1,0
870,8,116020,1,771
871,6,116020,1,772
872,5,116020,1,773
873,6,116020,1,78
874,6,116020,1,37
875,297,116020,1,0
876,6,116020,1,78
877,6,116020,1,37
878,297,116020,1,0
879,49,116020,1,0
880,8,116343,1,771
881,6,116343,1,772
882,5,116343,1,773
883,74,116343,1,0
884,353,116343,1,0
885,115,116343,1,0
886,194,116343,1,0
887,24,116343,1,176
888,4,116343,1,1274
889,49,116343,1,0
890,8,116017,1,771
891,6,116017,1,772
892,5,116017,1,773
893,103,116017,1,0
894,6,116017,1,1010
895,6,116017,1,1244
896,190,116017,1,155
897,223,116017,1,0
898,214,116017,1,0
899,49,116017,1,0
900,8,116012,1,771
901,6,116012,1,772
902,5,116012,1,773
903,102,116012,1,0
904,5,116012,1,839
905,53,116012,1,839
906,159,116012,1,0
907,6,116012,1,148
908,201,116012,1,921
909,49,116012,1,0
910,8,116011,1,771
911,6,116011,1,772
912,5,116011,1,773
913,88,116011,1,0
914,88,116011,1,0
915,5,116011,1,922
916,6,116011,1,1202
917,24,116011,1,110
918,292,116011,1,0
919,49,116011,1,0
920,8,116014,1,771
921,6,116014,1,772
922,5,116014,1,773
923,51,116014,1,0
924,79,116014,1,0
925,6,116014,1,1241
926,8,116014,1,971
927,324,116014,1,0
928,6,116014,1,1242
929,49,116014,1,0
930,6,21,1,559
931,6,21,1,1150
932,6,21,1,1151
933,6,21,1,1152
934,6,21,1,559
935,6,21,1,1150
936,6,21,1,1153
937,6,21,1,1154
938,24,21,1,1238
939,173,21,1,0
940,6,115995,1,559
941,6,115995,1,1150
942,6,115995,1,1151
943,6,115995,1,1152
944,6,115995,1,559
945,6,115995,1,1150
946,6,115995,1,1153
947,6,115995,1,1154
948,38,115995,1,0
949,37,115995,1,0
950,38,116033,1,0
951,37,116033,1,0
952,297,116033,1,0
953,92,116033,1,0
954,1,116033,1,1267
955,1,116033,1,1275
956,1,116033,1,1268
957,1,116033,1,1269
958,49,116033,1,0
959,39,116033,1,0
