teamkitid,chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,jerseynameoutlinecolorb,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,shortstemplateindex,jerseynamefonttype,teamcolorprimpercent,isgeneric,teamcolorsecpercent,year,jerseytemplateindex,captainarmband,teamtechid,isembargoed,hasadvertisingkit,jerseynameoutlinewidth,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,sockstemplateindex,jerseyrestriction
1353,0,1,220,139,0,0,12,220,220,12,40,12,220,64,12,220,220,0,12,60,220,0,1,17,220,0,220,139,12,10,12,0,12,135,7,12,220,74,0,220,12,220,12,32,12,0,1,0,0,0,23,0,49,87,0,6,0,0,14,4,0,0,0,0,99,0,89,0,0,0,0
1767,0,1,12,29,0,0,220,12,12,220,192,220,12,110,220,12,12,0,220,60,12,0,1,132,12,0,12,30,220,130,220,0,220,29,0,220,12,112,0,12,220,12,220,191,220,0,2,0,0,0,23,0,49,91,0,7,0,0,14,4,0,0,0,0,94,0,89,0,0,0,0
1354,0,1,220,122,0,0,220,220,220,220,63,12,220,118,12,12,220,1,12,13,220,0,1,45,220,0,12,63,220,43,220,0,12,45,7,12,220,122,0,12,220,220,12,60,220,0,0,0,0,0,262,0,135,97,0,97,0,5,13,5,0,0,2,0,97,0,262,0,0,0,0
1355,0,1,12,208,0,0,25,12,12,25,222,220,12,208,220,220,12,1,220,13,12,0,1,226,12,0,220,222,25,226,25,0,220,226,0,220,12,208,0,220,25,12,220,222,25,0,1,0,0,0,265,0,135,94,0,94,0,5,13,5,0,0,2,0,97,1,265,0,0,0,0
1356,0,1,12,124,0,0,25,12,12,25,118,220,12,50,220,220,12,1,220,13,12,0,1,231,12,0,220,188,25,231,25,0,220,233,0,220,12,51,0,220,25,12,220,117,25,0,2,0,0,0,265,0,135,82,0,16,0,6,13,5,0,0,2,0,97,1,265,0,0,0,0
1357,0,1,220,29,0,0,220,220,220,220,29,12,220,29,12,12,220,1,12,13,220,0,1,29,220,0,12,29,220,29,220,0,12,29,7,12,220,29,0,12,220,220,12,29,220,0,3,0,0,0,262,0,135,91,0,91,0,5,13,5,0,0,2,0,98,0,262,0,0,0,0
1358,0,1,30,110,0,0,220,220,220,99,55,220,28,231,12,12,77,1,12,13,220,0,1,32,220,0,12,55,41,231,220,0,220,32,7,220,220,110,0,12,220,220,12,231,33,0,0,0,0,0,262,0,135,98,0,98,0,0,13,7,0,1,2,0,100,0,265,0,0,0,0
1359,0,1,220,177,0,0,33,28,30,220,232,12,220,77,220,220,220,1,220,13,77,0,1,242,21,0,220,232,220,36,41,0,12,242,9,12,15,177,0,220,99,55,220,43,220,0,1,0,0,0,265,0,135,96,0,96,0,0,13,7,0,1,2,0,100,0,262,0,0,0,0
1768,0,1,220,134,0,0,220,220,220,220,192,12,220,135,12,12,220,1,12,13,220,0,1,108,220,0,12,192,220,110,220,0,12,108,0,12,220,134,0,12,220,220,12,196,220,0,2,0,0,0,262,0,135,95,0,95,0,0,13,7,0,1,2,0,100,0,262,0,0,0,0
2769,0,1,220,30,0,0,220,220,220,220,30,12,220,30,12,12,220,1,12,13,220,0,1,30,220,0,12,30,220,30,220,0,12,30,0,12,220,30,0,12,220,220,12,30,220,0,3,0,0,0,262,0,135,94,0,94,0,0,13,7,0,1,2,0,98,0,262,0,0,0,0
633,0,1,30,232,0,0,33,28,30,99,232,220,28,231,220,220,77,0,220,13,77,0,1,232,30,0,220,232,41,231,41,0,220,232,0,220,28,232,0,220,99,27,220,231,33,0,0,-1,0,0,265,0,135,94,0,94,0,0,13,8,0,1,0,0,99,0,265,0,0,0,1
634,0,1,220,43,0,0,220,220,220,220,81,12,220,152,12,12,220,0,12,13,220,0,1,52,220,0,12,192,220,54,220,0,12,229,7,12,220,148,0,12,220,220,12,83,220,0,1,-1,0,0,262,0,135,83,0,15,0,0,13,8,0,1,2,0,99,0,262,0,0,0,1
4385,0,1,220,101,0,0,220,220,220,220,50,12,220,128,12,12,220,0,12,13,220,0,1,160,220,0,12,51,220,165,220,0,12,89,0,12,220,127,0,12,220,220,12,49,220,0,2,0,0,0,262,0,135,55,0,36,0,0,13,8,0,1,2,0,97,0,262,0,0,0,1
5025,0,1,220,231,0,0,220,220,220,220,38,12,220,27,12,12,220,0,12,13,220,0,1,38,220,0,12,233,220,30,220,0,12,235,7,12,220,44,0,12,220,220,12,26,220,0,3,0,0,0,262,0,135,84,0,6,0,0,13,8,0,1,2,0,98,0,262,0,0,0,1
1360,0,1,220,229,0,0,220,220,220,220,29,12,220,44,12,12,220,0,12,500013,220,0,1,121,220,0,12,229,220,125,220,0,12,228,0,12,220,42,0,12,220,220,12,32,220,0,0,0,0,0,262,0,135,91,0,8,0,0,13,9,0,0,2,0,98,0,262,0,0,0,0
1361,0,1,220,51,0,0,25,12,12,220,185,12,220,30,220,220,220,0,220,500013,12,0,1,191,12,0,220,36,220,30,25,0,12,142,7,12,12,171,0,220,25,12,220,30,220,0,1,0,0,0,265,0,135,83,0,13,0,0,13,9,0,0,2,0,99,1,262,0,0,0,0
1769,0,1,220,30,0,0,220,220,220,220,82,12,220,88,12,12,220,1,12,500013,220,0,1,82,220,0,12,30,220,83,220,0,12,30,0,12,220,87,0,12,220,220,12,83,220,0,2,0,0,0,262,0,135,53,0,40,0,8,13,9,0,0,2,0,97,0,262,0,0,0,0
1770,0,1,12,240,0,0,220,220,220,25,115,220,12,230,12,12,12,0,12,500013,220,0,1,30,220,0,12,245,25,230,220,0,220,245,7,220,220,101,0,12,220,220,12,230,25,0,3,0,0,0,262,0,135,92,0,7,0,8,13,9,0,0,2,0,94,1,265,0,0,0,0
1362,0,1,30,231,0,0,220,220,220,99,162,220,28,229,12,12,77,1,12,13,220,0,1,107,220,0,12,223,41,229,220,0,220,214,0,220,220,214,0,12,220,220,12,229,33,0,0,0,0,0,262,0,135,87,0,9,0,0,13,10,0,1,2,0,93,0,265,0,0,0,0
1363,0,1,220,30,0,0,220,220,220,220,30,12,220,30,12,12,220,1,12,13,220,0,1,30,220,0,12,30,220,30,220,0,12,30,8,12,220,30,0,12,220,220,12,30,220,0,1,0,0,0,262,0,135,98,0,98,0,0,13,10,0,1,2,0,100,0,262,0,0,0,0
1771,0,1,220,177,0,0,220,220,220,220,76,12,220,136,12,12,220,1,12,13,220,0,1,195,220,0,12,190,220,191,220,0,12,57,0,12,220,137,0,12,220,220,12,78,220,0,2,0,0,0,262,0,135,79,0,10,0,0,13,10,0,1,2,0,89,0,262,0,0,0,0
4640,0,1,12,68,0,0,25,12,12,25,185,220,12,199,220,220,12,1,220,13,12,0,1,175,12,0,220,229,25,175,25,0,220,139,0,220,12,199,0,220,25,12,220,183,25,0,3,0,0,0,265,0,135,49,0,25,0,0,13,10,0,1,2,0,63,0,265,0,0,0,0
1364,0,1,12,26,0,0,220,220,220,25,26,220,12,231,12,12,12,1,12,13,220,0,1,198,220,0,12,26,25,231,220,0,220,26,7,220,220,38,0,12,220,220,12,231,25,0,0,-1,0,0,262,0,135,91,0,7,0,0,13,11,0,0,2,0,97,0,265,0,0,0,0
1365,0,1,220,219,0,0,25,12,12,220,229,12,220,67,220,220,220,1,220,13,12,0,1,229,12,0,220,194,220,59,25,0,12,201,7,12,12,230,0,220,25,12,220,45,220,0,1,-1,0,0,265,0,135,80,0,16,0,0,13,11,0,0,2,0,99,0,262,0,0,0,0
1366,0,1,220,46,0,0,220,220,220,220,84,12,220,89,12,12,220,1,12,13,220,0,1,84,220,0,12,44,220,85,220,0,12,44,0,12,220,88,0,12,220,220,12,85,220,0,2,-1,0,0,262,0,135,65,0,27,0,0,13,11,0,0,2,0,92,0,262,0,0,0,0
1367,0,1,220,22,0,0,220,220,220,220,22,12,220,31,12,12,220,1,12,13,220,0,1,22,220,0,12,22,220,31,220,0,12,22,7,12,220,22,0,12,220,220,12,31,220,0,3,0,0,0,262,0,135,95,0,95,0,8,13,11,0,0,2,0,97,0,262,0,0,0,0
1368,0,1,220,231,0,0,12,220,220,12,31,12,220,51,12,220,220,1,12,14,220,0,1,198,220,0,220,231,12,201,12,0,12,231,7,12,220,50,0,220,12,220,12,32,12,0,0,0,0,0,23,0,49,89,0,9,0,0,14,12,0,1,0,0,98,0,89,0,0,0,0
1369,0,1,220,132,0,0,12,220,220,12,34,12,220,31,12,220,220,1,12,14,220,0,1,30,220,0,220,65,12,30,12,0,12,33,0,12,220,44,0,220,12,220,12,30,12,0,1,0,0,0,23,0,49,87,0,9,0,0,14,12,0,1,0,0,99,0,89,0,0,0,0
1772,0,1,220,205,0,0,12,220,220,12,154,12,220,206,12,220,220,1,12,14,220,0,1,68,220,0,220,154,12,75,12,0,12,68,0,12,220,205,0,220,12,220,12,155,12,0,2,0,0,0,23,0,49,98,0,98,0,0,14,12,0,1,0,0,99,0,89,0,0,0,0
1370,0,1,220,34,0,0,25,12,12,220,231,12,220,30,220,220,220,1,220,13,12,0,1,231,12,0,220,34,220,30,25,0,12,35,0,12,12,231,0,220,25,12,220,30,220,0,0,-1,0,0,265,0,135,54,0,36,0,0,13,13,0,0,2,0,98,0,262,0,0,0,0
1371,0,1,12,229,0,0,220,220,220,25,130,220,12,231,12,12,12,1,12,13,220,0,1,63,220,0,12,229,25,231,220,0,220,229,7,220,220,90,0,12,220,220,12,231,25,0,1,-1,0,0,262,0,135,88,0,10,0,0,13,13,0,0,2,0,98,0,265,0,0,0,0
1773,0,1,220,90,0,0,220,220,220,220,53,12,220,161,12,12,220,0,12,13,220,0,1,185,220,0,12,23,220,186,220,0,12,95,0,12,220,160,0,12,220,220,12,53,220,0,2,0,0,0,262,0,135,52,0,40,0,0,13,13,0,0,2,0,97,0,262,0,0,0,0
3334,0,1,220,93,0,0,220,220,220,220,53,12,220,91,12,12,220,1,12,13,220,0,1,45,220,0,12,53,220,44,220,0,12,45,22,12,220,93,0,12,220,220,12,52,220,0,3,-1,0,0,262,0,135,93,0,93,0,0,13,13,0,0,2,0,97,0,262,3,0,0,0
635,0,1,12,39,0,0,220,220,220,25,31,220,12,231,25,12,12,0,25,13,220,0,1,223,220,0,12,31,25,231,220,0,220,223,11,220,220,39,0,12,220,220,25,231,25,0,0,-1,0,0,262,0,135,93,0,93,0,0,13,14,0,0,2,0,98,0,265,0,0,0,1
636,0,1,12,150,0,0,25,12,12,25,220,220,12,209,220,220,12,0,220,13,12,0,1,222,12,0,220,172,25,223,25,0,220,184,0,220,12,207,0,220,25,12,220,221,25,0,1,-1,0,0,265,0,135,92,0,7,0,0,13,14,0,0,2,0,98,0,265,0,0,0,1
3999,0,1,12,48,0,0,25,12,12,25,229,220,12,152,220,220,12,0,220,13,12,0,1,232,12,0,220,33,25,233,25,0,220,133,0,220,12,117,0,220,25,12,220,236,25,0,2,0,0,0,265,0,135,94,0,5,0,0,13,14,0,0,2,0,97,0,265,0,0,0,0
7211,0,1,30,75,0,0,220,234,30,220,49,220,234,58,220,12,45,0,220,13,45,0,1,46,30,0,12,77,220,47,220,0,220,254,0,220,234,60,0,12,220,45,220,48,220,0,3,0,0,0,262,0,135,94,0,5,0,0,13,14,0,0,2,0,98,1,262,0,0,0,1
637,0,1,0,103,0,0,220,197,0,220,236,220,197,230,220,220,46,1,220,14,46,0,1,236,0,0,220,60,220,230,220,0,220,0,7,220,197,236,0,220,220,46,220,230,220,0,0,0,0,0,23,0,49,65,0,33,0,0,14,15,0,1,0,0,82,0,89,0,0,0,0
638,0,1,220,160,0,0,12,220,220,12,30,12,220,30,12,12,220,1,12,14,220,0,1,30,220,0,12,141,12,30,12,0,12,232,7,12,220,30,0,12,12,220,12,30,12,0,1,0,0,0,23,0,49,48,0,48,0,0,14,15,0,1,0,0,94,0,89,0,0,0,0
4388,0,1,220,37,0,0,12,220,220,12,31,12,220,38,12,12,220,1,12,14,220,0,1,35,220,0,12,31,12,37,12,0,12,35,7,12,220,37,0,12,12,220,12,32,12,0,2,0,0,0,23,0,49,99,0,99,0,0,14,15,0,1,0,0,99,0,89,0,0,0,0
639,0,1,220,23,0,0,220,197,0,12,231,12,220,29,220,197,220,0,220,14,46,0,1,231,0,0,46,23,12,30,220,0,12,231,8,12,197,231,0,0,220,46,220,29,12,0,0,0,0,0,23,0,49,72,0,24,0,0,14,17,0,1,0,0,88,0,89,0,0,0,0
640,0,1,220,204,0,0,220,12,12,12,222,12,220,204,220,12,220,0,220,14,12,0,1,254,12,0,12,100,12,13,220,0,12,13,7,12,12,0,0,12,220,12,220,99,12,0,1,0,0,0,23,0,49,63,0,28,0,0,14,17,0,1,0,0,88,0,89,0,0,0,0
4676,0,1,220,132,0,0,12,220,220,12,119,12,220,88,12,220,220,0,12,14,220,0,1,35,220,0,220,87,12,44,12,0,12,243,0,12,220,85,0,220,12,220,12,120,12,0,2,0,0,0,23,0,49,79,0,9,0,0,14,17,0,1,0,0,91,0,89,0,0,0,0
1372,0,1,220,62,0,0,33,28,30,220,227,12,220,63,220,220,220,1,220,13,77,0,1,227,30,0,220,37,220,34,41,0,12,34,0,12,28,227,0,220,99,77,220,37,220,0,0,0,0,0,265,0,135,70,0,12,0,5,13,18,0,1,2,0,93,1,262,0,0,0,0
1373,0,1,220,26,0,0,220,220,220,220,26,12,220,26,12,12,220,1,12,13,220,0,1,26,220,0,12,26,220,26,220,0,12,26,0,12,220,26,0,12,220,220,12,26,220,0,1,0,0,0,262,0,135,97,0,97,0,5,13,18,0,1,2,0,100,0,262,0,0,0,0
1774,0,1,220,138,0,0,220,220,220,220,12,12,220,102,12,12,220,1,12,13,220,0,1,119,220,0,12,58,220,118,220,0,12,189,0,12,220,103,0,12,220,220,12,12,220,0,2,0,0,0,262,0,135,83,0,15,0,6,13,18,0,1,2,0,97,1,262,0,0,0,0
3214,0,1,30,56,0,0,33,28,30,99,217,220,28,70,220,220,77,1,220,13,77,0,1,224,30,0,220,27,41,226,41,0,220,25,7,220,28,69,0,220,99,77,220,218,33,0,3,0,0,0,265,0,135,84,0,12,0,5,13,18,0,1,2,0,96,1,265,0,0,0,0
1374,0,1,12,64,0,0,220,220,220,25,43,220,12,231,12,12,12,1,12,13,220,0,1,124,220,0,12,43,25,231,220,0,220,124,7,220,220,64,0,12,220,220,12,231,25,0,0,0,0,0,262,0,135,95,0,95,0,0,13,19,0,1,2,0,91,0,265,0,0,0,0
1375,0,1,220,59,0,0,25,12,12,220,216,12,220,60,220,220,220,1,220,13,12,0,1,238,12,0,220,44,220,40,25,0,12,40,0,12,12,191,0,220,25,12,220,45,220,0,1,0,0,0,265,0,135,91,0,6,0,0,13,19,0,1,2,0,100,0,262,0,0,0,0
1775,0,1,220,36,0,0,220,220,220,220,103,12,220,47,12,12,220,1,12,13,220,0,1,242,220,0,12,65,220,243,220,0,12,230,0,12,220,47,0,12,220,220,12,104,220,0,2,0,0,0,262,0,135,78,0,10,0,0,13,19,0,1,2,0,91,1,262,0,0,0,0
5759,0,1,12,55,0,0,220,220,220,25,37,220,12,100,12,12,12,1,12,13,220,0,1,34,220,0,12,37,25,208,220,0,220,34,8,220,220,55,0,12,220,220,12,171,25,0,3,0,0,0,262,0,135,93,0,93,0,0,13,19,0,1,2,0,91,1,265,0,0,0,0
1376,0,1,220,235,0,0,175,220,220,220,24,220,220,36,75,220,220,0,9,800019,220,0,1,167,220,0,220,235,220,168,22,0,220,235,0,220,220,36,0,220,40,220,153,24,220,0,0,0,0,0,272,0,79,77,0,20,0,0,100,21,0,0,0,0,99,0,272,0,0,0,0
1377,0,1,82,178,0,0,78,230,82,64,230,64,230,231,85,78,64,0,78,800019,64,0,1,231,85,0,91,174,82,231,85,0,230,189,3,82,78,231,0,85,91,91,91,231,230,0,1,-1,0,0,285,0,79,75,0,7,0,0,100,21,0,0,0,0,97,0,285,0,0,0,0
1378,0,1,12,121,0,0,176,12,12,12,214,12,12,161,12,12,12,0,12,800019,12,0,1,168,12,0,12,189,12,170,218,0,12,117,0,12,12,159,0,12,165,12,12,216,12,0,2,-1,0,0,285,0,79,55,0,37,0,0,100,21,0,0,0,0,95,0,285,0,0,0,0
1379,0,1,203,32,0,0,12,213,203,189,30,12,213,46,12,213,189,0,12,800019,189,0,1,30,203,0,189,30,203,44,12,0,12,30,7,12,213,32,0,203,12,189,12,44,213,0,3,-1,0,0,286,0,79,96,0,96,0,0,0,21,0,0,0,0,97,1,286,3,0,0,0
1380,0,1,222,25,0,0,12,12,12,72,231,72,249,29,203,12,72,0,248,19,12,0,1,254,12,0,12,25,222,33,12,0,249,25,7,222,12,80,0,12,12,12,16,28,249,0,0,0,0,0,222,0,144,63,0,33,0,0,100,22,0,0,0,0,71,0,222,0,0,0,0
1381,0,1,12,24,0,0,189,12,12,12,221,12,12,93,12,12,12,0,12,19,12,0,1,201,12,0,12,23,12,175,211,0,12,24,0,12,12,188,0,12,225,12,12,233,12,0,1,0,0,0,222,0,144,68,0,25,0,0,100,22,0,0,0,0,71,0,222,0,0,0,0
1776,0,1,188,17,0,0,12,237,203,57,119,57,199,88,203,12,57,0,237,19,7,0,1,36,203,0,12,206,188,44,12,0,199,249,0,188,237,85,0,12,12,7,7,120,199,0,2,0,0,0,222,0,144,78,0,9,0,0,100,22,0,0,0,0,91,0,222,0,0,0,0
1777,0,1,173,25,0,0,12,12,12,40,185,40,210,30,153,12,40,0,186,19,12,0,1,250,12,0,12,25,173,33,12,0,210,25,0,173,12,28,0,12,12,12,20,29,210,0,3,0,0,0,222,0,144,86,0,12,0,0,100,22,0,0,2,0,100,0,222,0,0,0,1
11379,0,1,201,29,0,0,12,251,201,12,31,12,251,29,201,251,12,0,251,0,12,0,1,31,201,0,12,209,12,29,12,0,251,240,0,201,251,31,0,201,12,12,12,29,12,0,4,0,0,0,222,0,144,80,0,9,0,0,100,22,1,0,0,0,71,0,222,0,0,0,0
1382,0,1,12,31,0,0,220,12,12,12,234,12,12,215,12,12,12,0,12,19,12,0,1,240,12,0,12,31,12,238,220,0,12,31,0,12,12,217,0,12,220,12,12,232,12,0,0,0,0,0,240,0,141,93,0,5,0,0,0,23,0,0,0,0,93,1,240,0,0,0,1
1383,0,1,220,19,0,0,12,220,220,220,179,220,220,64,220,220,220,0,220,19,220,0,1,79,220,0,220,34,220,78,12,0,220,34,0,220,220,65,0,220,12,220,220,177,220,0,1,0,0,0,240,0,141,75,0,9,0,0,0,23,0,0,0,0,93,0,240,0,0,0,1
1778,0,1,12,19,0,0,220,12,12,12,241,12,12,7,12,12,12,0,12,19,12,0,1,252,12,0,12,174,12,250,220,0,12,189,0,12,12,2,0,12,220,12,12,240,12,0,2,0,0,0,240,0,141,74,0,23,0,0,0,23,0,0,0,0,62,1,240,0,0,0,1
3681,0,1,220,30,0,0,12,220,220,220,30,220,220,29,220,220,220,0,220,19,220,0,1,30,220,0,220,30,220,29,12,0,220,30,0,220,220,30,0,220,12,220,220,29,220,0,3,0,0,0,240,0,141,96,0,96,0,0,100,23,0,0,0,0,100,0,240,0,0,0,1
17575,0,1,220,31,0,0,12,220,220,220,31,220,220,30,220,220,220,0,220,0,220,0,1,31,220,0,220,31,220,30,12,0,220,31,0,220,220,31,0,220,12,220,220,30,220,0,4,0,0,0,240,0,0,88,0,88,0,0,0,23,1,0,0,0,100,0,275,0,0,0,0
641,0,1,12,46,0,0,12,12,12,12,231,12,12,34,220,12,12,0,220,19,12,0,1,231,12,0,12,35,12,183,12,0,12,174,5,12,12,231,0,12,12,12,220,28,12,1,0,0,0,0,2,0,17,73,0,19,0,0,100,25,0,0,0,0,100,0,2,0,0,0,0
4714,0,1,220,231,0,0,220,220,220,220,35,220,220,29,220,220,220,0,220,19,220,0,1,34,220,0,220,231,220,29,220,0,220,231,0,220,220,36,0,220,220,220,220,29,220,1,1,0,0,0,2,0,17,87,0,11,0,0,100,25,0,0,0,0,100,0,2,0,0,0,0
4688,0,1,220,91,0,0,220,220,220,220,108,220,220,68,220,220,220,0,220,19,220,0,1,57,220,0,220,177,220,2,220,0,220,67,0,220,220,76,0,220,220,220,220,118,220,1,2,0,0,0,2,0,17,54,0,42,0,6,100,25,0,0,0,0,100,0,2,0,0,0,0
642,0,1,12,39,0,0,220,220,220,12,33,12,12,41,220,220,12,0,220,19,220,0,1,193,220,0,220,33,12,201,220,0,12,193,5,12,220,39,0,220,220,220,220,35,12,1,3,0,0,0,2,0,17,98,0,98,0,0,100,25,0,0,0,0,100,0,2,0,0,0,0
17551,0,1,220,231,0,0,220,220,220,220,35,220,220,29,220,220,220,0,220,0,220,0,1,34,220,0,220,231,220,29,220,0,220,231,5,220,220,35,0,220,220,220,220,29,220,1,4,0,0,0,2,0,17,91,0,8,0,0,0,25,1,0,0,0,100,0,2,0,0,0,0
643,0,1,111,230,0,0,220,220,220,185,111,185,0,231,220,220,185,0,220,2076,220,0,1,17,220,0,220,230,111,231,220,0,0,230,7,111,220,170,0,220,220,220,220,231,0,1,0,0,0,0,6,0,1,81,0,10,0,0,100,27,0,0,0,0,96,0,6,0,0,0,0
644,0,1,220,185,0,0,0,0,111,220,217,220,220,186,111,0,220,0,0,2076,185,0,1,220,111,0,185,113,220,0,111,0,220,2,7,220,0,207,0,111,185,185,185,112,220,1,1,0,0,0,6,0,1,85,0,12,0,0,100,27,0,0,0,0,99,0,6,0,0,0,0
4750,0,1,220,107,0,0,220,220,220,220,97,220,220,106,220,220,220,0,220,2076,220,0,1,84,220,0,220,97,220,83,220,0,220,84,0,220,220,107,0,220,220,220,220,96,220,1,2,0,0,0,6,0,1,100,0,100,0,0,76,27,0,0,0,0,100,0,6,0,0,0,0
1384,0,1,220,124,0,0,12,12,12,220,229,220,220,38,12,12,220,0,12,19,12,0,1,229,12,0,12,63,220,194,12,0,220,46,7,220,12,229,0,12,12,12,12,29,220,0,0,0,0,0,10,0,1,56,0,29,0,0,100,28,0,0,0,0,98,0,10,0,0,0,0
