firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,facepsdlayer0,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,sockstylecode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,facepsdlayer1,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Njål,Flaten,30301,0,1,0,92,3,0,1,15,223101,18,2,172,41,1,146600,0,0,75,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,188462,0,36,1,0,0,0,3,1
Guilherme,Santoso,30301,0,0,37,37,3,0,1,15,223101,2505,1,175,308,1,146600,0,0,70,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,188465,0,38,1,0,0,0,2,0
Ignacio,Muñiz Villate,30301,0,0,0,65,4,0,2,15,223101,1505,2,179,54,1,146600,0,0,84,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,188474,4,45,1,0,0,0,3,0
Ludvig,Walfridsson,30301,0,6,243,129,3,0,1,15,223101,20,0,180,56,1,146814,0,0,76,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,188475,2,46,1,0,0,0,2,3
Henry,McDillon,30301,0,6,0,75,0,0,1,15,223101,3505,2,178,65,1,141597,0,0,73,0,0,27083,0,1,0,0,0,0,0,0,2,0,500,209677,2,25,1,0,0,0,2,6
Conor,O'Connelly,30301,0,3,0,37,3,0,1,15,223101,2016,0,177,65,1,142583,0,0,72,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,209678,2,25,1,0,0,0,2,0
Sheamus,McArthur,30301,0,7,0,29,3,0,2,15,223101,13,1,180,65,1,142920,0,0,78,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,209679,0,25,1,0,0,0,2,7
Lutz,Gersthofer,30301,0,2,289,65,3,0,0,0,223101,2003,1,174,80,1,142288,0,0,75,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,209684,4,4,1,0,0,0,3,1
Heribert,Allmaier,30301,0,3,38,92,3,0,1,15,223101,1501,2,189,80,1,141043,0,0,77,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,209685,0,4,1,0,0,0,4,3
Harald,Fimmler,30301,0,7,0,42,3,0,1,15,223101,2000,0,179,19,1,145614,0,0,77,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209686,4,21,1,0,0,0,2,7
Jascha,Zurheide,30301,0,2,0,155,3,0,0,15,223101,3500,1,182,19,1,144318,0,0,75,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209687,2,21,1,0,0,0,2,6
Rafael,Ruibal Losada,30301,0,0,38,57,3,0,0,15,223101,2004,1,181,54,1,145477,0,0,76,0,0,27079,0,9,0,0,0,0,0,0,5,0,500,209689,4,45,1,0,0,0,1,0
Ansgar,von Hauenstein,30301,0,9,28,93,1,0,1,15,223101,37,2,192,19,1,143329,0,0,83,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209690,0,21,1,0,0,0,4,0
Daniel,Soengas Bello,30301,0,0,39,150,0,0,1,15,223101,0,2,177,53,1,146212,0,0,82,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,209692,4,45,1,0,0,0,3,0
Álvaro,Arias Romera,30301,0,0,289,118,3,0,1,15,223101,7,1,179,53,1,144890,0,0,76,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209693,4,45,1,0,0,0,2,0
Federico,Ramos Navarro,30301,0,0,287,115,0,0,1,15,223101,2010,2,172,54,1,145689,0,0,70,0,0,27077,0,4,0,0,0,0,0,0,4,0,500,209694,4,45,1,0,0,0,2,0
Dario,Nuessli,30301,0,0,0,119,0,0,0,15,223101,528,0,178,189,1,142778,0,0,71,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,209714,4,47,1,0,0,0,2,0
Eufemio,Lafranchi,30301,0,3,0,147,3,0,1,15,223101,1517,0,186,189,1,144050,0,0,76,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,209716,0,47,1,0,0,0,4,3
Gwidon,Pietrzykowski,30301,0,3,28,0,3,0,0,15,223101,0,1,187,66,1,141500,0,0,79,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209777,2,37,1,0,0,0,5,3
Nikodem,Dworaczyk,30301,0,0,287,77,3,0,1,15,223101,22,1,174,66,1,139435,0,0,80,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209778,2,37,1,0,0,0,3,0
Kasper,Krosby,30301,0,3,287,83,0,0,1,15,223101,12,2,186,56,1,143466,0,0,83,0,0,27083,0,1,0,0,0,0,0,0,2,0,500,209788,2,46,1,0,0,0,5,0
Pontus,Ortendhal,30301,0,5,289,0,3,0,0,15,223101,18,1,184,56,1,142602,0,0,70,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,209790,4,46,1,0,0,0,1,0
Sven,Solomonsson,30301,0,1,0,154,3,0,2,15,223101,6,1,176,56,1,144151,0,0,68,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,209791,0,46,1,0,0,0,2,1
Graham,Boverick,30301,0,0,0,104,0,0,0,15,223101,2027,2,185,351,1,144978,0,0,80,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209792,0,195,1,0,0,0,5,0
Pat,Framlow,30301,0,3,243,74,3,0,1,15,223101,3505,1,177,351,1,144763,0,0,73,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209793,4,195,1,0,0,0,2,0
Josh,Brithwell,30301,0,2,287,43,3,0,2,15,223101,1517,0,178,351,1,142142,0,0,68,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209794,2,195,1,0,0,0,2,6
Buk-Chol,Choi,30301,0,0,0,115,4,0,1,15,223101,519,1,170,83,1,144100,0,0,72,0,0,27115,0,9,0,0,0,0,0,0,3,0,500,209808,3,167,1,0,0,0,8,0
Yoon-Fang,Lee,30301,0,0,0,137,3,0,0,15,223101,522,0,178,83,1,140217,0,0,71,0,0,27111,0,9,0,0,0,0,0,0,2,0,500,209809,3,167,1,0,0,0,1,0
Sébastien,Mittré,30301,0,3,0,115,3,0,0,15,223101,2010,0,178,16,1,143061,0,0,74,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,209821,0,18,1,0,0,0,2,3
Jean-Daniel,Lacagne,30301,0,6,0,65,3,0,1,15,223101,1511,2,183,17,1,142555,0,0,71,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209822,4,18,1,0,0,0,1,6
Roald,Wikborg,30301,0,0,0,8,3,0,1,15,223101,2000,0,178,41,1,143353,0,0,66,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,209847,0,36,1,0,0,0,1,0
Gavin,Monksfield,30301,0,3,0,138,3,0,1,15,223101,4001,1,183,65,1,147399,0,0,69,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,209883,4,25,1,0,0,0,1,3
Laurits,Tyllesen,30301,0,0,287,75,3,0,1,15,223101,3501,1,177,1,1,143578,0,0,73,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209891,4,13,1,0,0,0,2,0
Afonso,Masarenhas,30301,0,0,287,61,3,0,0,15,223101,2507,1,189,308,1,143199,0,0,83,0,0,27079,0,9,0,0,0,0,0,0,5,0,500,209897,4,38,1,0,0,0,5,0
Arcibaldo,Pombal,30301,0,0,0,16,4,0,1,15,223101,2505,0,179,308,1,144700,0,0,67,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,209899,4,38,1,0,0,0,1,0
Baptiste,Alacoque,30301,0,6,289,65,3,0,1,15,223101,1509,1,191,16,1,143665,0,0,84,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209902,4,18,1,0,0,0,5,6
Philippe,Daboussier,30301,0,3,28,57,1,0,2,15,223101,2019,1,184,17,1,146020,0,0,72,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209904,0,18,1,0,0,0,1,3
Klemens,Pilegaard,30301,0,2,0,25,3,0,1,15,223101,25,0,187,1,1,141960,0,0,82,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,209914,4,13,1,0,0,0,5,1
Ian,Lowcroft,30301,0,0,286,2,4,0,0,15,223101,1005,1,185,76,1,143073,0,0,84,0,0,27076,0,9,0,0,0,0,0,0,9,0,500,209923,1,14,1,0,0,0,6,0
Grant,Lindum,30301,0,6,287,135,3,0,2,15,223101,16,1,183,78,1,145037,0,0,79,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,209926,0,14,1,0,0,0,2,6
Gianluca,Del Tarano,30301,0,3,38,119,0,0,1,0,223101,2027,1,180,31,1,144452,0,0,72,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209927,0,27,1,0,0,0,1,3
Filippo,Giacoletti,30301,0,3,0,115,3,0,2,0,223101,1,1,176,31,1,145043,0,0,69,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,209928,4,27,1,0,0,0,1,3
Gijsbert,Declerck,30301,0,1,0,119,3,0,2,15,223101,4,1,185,4,1,142450,0,0,77,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,209938,2,7,1,0,0,0,5,1
Jochem,Van Vosselen,30301,0,12,0,102,0,0,1,15,223101,25,2,175,4,1,141224,0,0,72,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209939,0,7,1,0,0,0,3,7
Siem,Decauwer,30301,0,0,39,13,3,0,0,15,223101,529,1,188,4,1,145198,0,0,74,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209940,4,7,1,0,0,0,4,0
Joep,Druppers,30301,0,3,243,44,0,0,2,15,223101,1,1,182,10,1,144339,0,0,80,0,0,27083,0,1,0,0,0,0,0,0,2,0,500,209941,2,34,1,0,0,0,3,3
Luuk,Hoebacke,30301,0,6,0,29,3,0,1,15,223101,2515,0,191,10,1,142161,0,0,85,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,209942,4,34,1,0,0,0,5,3
Pim,van Tilburgh,30301,0,0,0,70,1,0,0,15,223101,508,1,179,10,1,143762,0,0,69,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209943,0,34,1,0,0,0,1,0
Fuad,Al-Rishani,30301,0,0,28,16,3,0,1,15,223101,2510,0,174,350,1,140895,0,0,62,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,209944,0,183,1,0,0,0,1,0
Abdulmajeed,Al-Reshedi,30301,0,0,0,22,3,0,1,15,223101,2517,1,183,350,1,145871,0,0,78,0,0,27106,0,3,0,0,0,0,0,0,4,0,500,209945,0,183,1,0,0,0,2,0
Mazhar,Al-Amur,30301,0,0,287,90,0,0,0,15,223101,2504,1,172,350,1,143800,0,0,65,0,0,27093,0,4,0,0,0,0,0,0,3,0,500,209946,2,183,1,0,0,0,2,0
Alvaro,Aldgate,30301,0,3,0,8,0,0,1,15,223101,1509,1,177,39,1,145627,0,0,73,0,0,27037,0,3,0,0,0,0,0,0,5,0,500,210589,4,95,1,0,0,0,3,3
Wilson,Mountland,30301,0,2,0,92,1,0,0,15,223101,2014,1,182,39,1,144606,0,0,71,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,210590,0,95,1,0,0,0,1,1
Jefferson,Robertford,30301,0,0,28,119,3,0,1,15,223101,4005,0,175,39,1,141639,0,0,82,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,210594,4,95,1,0,0,0,3,0
Oliver Benito,Ledesma,30301,0,3,243,149,0,0,1,15,223101,1512,2,174,353,1,144751,0,0,71,0,0,27077,0,4,0,0,0,0,0,0,4,0,500,214502,4,52,1,0,0,0,2,0
Gabriel,Santiseban,30301,0,0,28,114,3,0,1,15,223101,1516,1,175,353,1,144752,0,0,75,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,214865,4,52,1,0,0,0,3,0
Jerónimo,Santarelli,30301,0,0,287,156,4,0,2,15,223101,2500,1,183,353,1,144250,0,0,75,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,214866,4,52,1,0,0,0,2,0
Maximiliano,Recobedo,30301,0,0,0,119,0,0,1,15,223101,528,2,178,353,1,144568,0,0,75,0,0,27077,0,4,0,0,0,0,0,0,4,0,500,214867,4,52,1,0,0,0,2,0
Aurelio Jesús,Alpízares,30301,0,0,0,74,3,0,1,15,223101,1528,2,173,1003,1,146944,0,0,70,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,214870,4,72,1,0,0,0,2,0
Armenio,Aristozabal,30301,0,0,243,46,4,0,2,15,223101,3000,1,179,1003,1,146712,0,0,75,0,0,27076,0,9,0,0,0,0,0,0,9,0,500,214871,1,72,1,0,0,0,2,0
Norberto,Sancelejo,30301,0,0,0,117,0,0,0,15,223101,2500,2,177,1003,1,144900,0,0,73,0,0,27037,0,3,0,0,0,0,0,0,5,0,500,214872,4,92,1,0,0,0,2,0
Yusri,Kao,30301,0,0,0,111,4,0,1,15,223101,509,1,176,76,1,141224,0,0,73,0,0,27029,0,9,0,0,0,0,0,0,4,0,500,221033,3,184,1,0,0,0,1,0
Dawud,Al-Habash,30301,0,0,243,29,0,0,1,15,223101,2506,1,174,76,1,144659,0,0,76,0,0,27093,0,4,0,0,0,0,0,0,3,0,500,221034,2,150,1,0,0,0,1,0
Shahzad,Abu Shakra,30301,0,0,243,114,3,0,1,15,223101,1518,1,177,76,1,142525,0,0,80,0,0,27106,0,3,0,0,0,0,0,0,4,0,500,221035,0,182,1,0,0,0,1,0
