topsecondlayerid,accessorytypethree,usekitwarmuppants,usewardrobeaccessory,bottomsecondlayertexturevariation,socktexturevariation,shoeid,usekitaccessory,accessorytypeone,accessorytypefour,useplayerarms,gkgloves,sockid,usewardrobesock,useshoe,useplayerlegs,leglength,accessorytypeonevariation,jerseykitid,gkglovetype,usekitgkgloves,gender,useplayershadow,bottomtexturevariation,usekitwarmupjacket,accessorytypefourvariation,outfitarmlength,bottomid,shortskitid,usekitsock,shoedesign,sockskitid,accessorytypethreevariation,topsecondlayertexturevariation,topbasetexturevariation,usekitwarmupbib,outfitid,usekitbottom,topbaseid,bottomsecondlayerid,accessorytypetwovariation,accessorytypetwo
2004,0,0,0,0,0,2005,0,0,0,0,0,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,0,0,0,0,1005,0,1004,4004,0,0
2005,0,0,0,0,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005,0,0,0,0,0,0,0,0,1006,0,1005,4005,0,0
2005,0,0,0,0,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3005,0,0,0,0,0,0,0,0,1007,0,1005,4005,0,0
2006,0,0,0,0,0,2008,0,0,0,0,0,5006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,0,0,0,0,0,0,0,0,1008,0,1006,4006,0,0
2007,0,0,0,0,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007,0,0,0,0,0,0,0,0,1009,0,1007,4007,0,0
2007,0,0,0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3007,0,0,0,0,0,0,0,0,1010,0,1007,4007,0,0
2008,0,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,0,0,0,0,0,0,0,0,1011,0,1008,4008,0,0
2008,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3008,0,0,0,0,0,0,0,0,1012,0,1008,4008,0,0
2009,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3009,0,0,0,0,0,0,0,0,1013,0,1009,4009,0,0
2010,0,0,0,0,0,2014,0,0,0,0,0,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,1014,0,1010,4010,0,0
2011,0,0,0,0,0,2015,0,0,0,0,0,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3011,0,0,0,0,0,0,0,0,1015,0,1011,4011,0,0
2012,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,0,0,0,0,0,0,0,0,1016,0,1012,4012,0,0
2013,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,0,0,0,0,1017,0,1013,4013,0,0
2014,0,0,0,0,0,2018,0,0,0,0,0,5014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,0,0,0,0,0,0,0,0,1018,0,1014,4014,0,0
2015,0,0,0,0,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,0,0,0,0,0,0,0,0,1019,0,1015,4015,0,0
2016,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3016,0,0,0,0,0,0,0,0,1020,0,1016,0,0,0
2017,0,0,0,0,0,2021,0,0,0,0,0,5022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3017,0,0,0,0,0,0,0,0,1021,0,1017,4017,0,0
2018,0,0,0,0,0,2022,0,0,0,0,0,5023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018,0,0,0,0,0,0,0,0,1022,0,1018,0,0,0
2019,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019,0,0,0,0,0,0,0,0,1023,0,1019,4019,0,0
2020,0,0,0,0,0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,0,0,0,0,0,0,0,0,1024,0,1020,4020,0,0
2021,0,0,0,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,0,0,0,0,0,0,0,0,1025,0,1021,0,0,0
2022,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022,0,0,0,0,0,0,0,0,1026,0,1022,4022,0,0
2023,0,0,0,0,0,2027,0,0,0,0,0,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,0,0,0,0,0,0,0,0,1027,0,1023,4023,0,0
2024,0,0,0,0,0,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3024,0,0,0,0,0,0,0,0,1028,0,1024,4024,0,0
2025,0,0,0,0,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,0,0,0,0,0,0,0,0,1029,0,1025,4025,0,0
2026,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3026,0,0,0,0,0,0,0,0,1030,0,1026,4026,0,0
2027,0,0,0,0,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,0,0,0,0,0,0,0,0,1031,0,1027,4027,0,0
2028,0,0,0,0,0,2032,0,0,0,0,0,5027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,0,0,0,0,0,0,0,0,1032,0,1028,4028,0,0
2029,0,0,0,0,0,2033,0,0,0,0,0,5026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3029,0,0,0,0,0,0,0,0,1033,0,1029,4029,0,0
2031,0,0,0,0,0,2035,0,0,0,0,0,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031,0,0,0,0,0,0,0,0,1035,0,1031,4031,0,0
2032,0,0,0,0,0,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032,0,0,0,0,0,0,0,0,1036,0,1032,4032,0,0
2033,0,0,0,0,0,2037,0,0,0,0,0,5020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033,0,0,0,0,0,0,0,0,1037,0,1033,4033,0,0
2034,0,0,0,0,0,2038,0,0,0,0,0,5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,0,0,0,0,0,1038,0,1034,4034,0,0
2035,0,0,0,0,0,2039,0,0,0,0,0,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035,0,0,0,0,0,0,0,0,1039,0,1035,4035,0,0
2036,0,0,0,0,0,2040,0,0,0,0,0,5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0,0,0,0,1040,0,1036,4036,0,0
2037,0,0,0,0,0,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3037,0,0,0,0,0,0,0,0,1041,0,1037,4037,0,0
2038,0,0,0,0,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038,0,0,0,0,0,0,0,0,1042,0,1038,4038,0,0
2039,0,0,0,0,0,2043,0,0,0,0,0,5019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039,0,0,0,0,0,0,0,0,1043,0,1039,4039,0,0
2040,0,0,0,0,0,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,0,0,0,0,1044,0,1040,4040,0,0
2044,0,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044,0,0,0,0,0,0,0,0,1048,0,1044,4044,0,0
200400,0,0,1,0,0,566,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4000,0,100600,400500,0,0
200100,0,0,1,1,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4001,0,100600,400100,0,0
200100,0,0,1,0,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,4002,0,100600,400100,0,0
1,0,0,1,0,0,580,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,4003,0,100600,400100,0,0
1,0,0,1,0,0,582,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4004,0,104000,400500,0,0
1,0,0,1,0,0,582,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,4005,0,100600,400700,0,0
1,0,0,1,0,0,580,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,4006,0,100600,400600,0,0
1,0,0,1,0,0,580,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4007,0,100600,400602,0,0
100903,0,0,1,0,0,575,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4008,0,1,400700,0,0
100900,0,0,1,1,0,580,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,4009,0,100600,400203,0,0
100900,0,0,1,0,0,580,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,4010,0,100600,401500,0,0
100900,0,0,1,0,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300800,0,0,0,0,0,2,3,0,4011,0,100600,1,0,0
1,0,0,1,0,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300800,0,0,0,0,0,2,6,0,4012,0,100600,1,0,0
1,0,0,1,0,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300800,0,0,0,0,0,2,11,0,4013,0,100600,1,0,0
1,0,0,1,0,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4014,0,103000,400600,0,0
100901,0,0,1,0,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4015,0,100600,400203,0,0
1,0,0,1,0,0,573,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4016,0,100600,400900,0,0
0,0,0,1,4,0,575,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4017,0,100600,400500,0,0
0,0,0,1,5,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4018,0,100600,400500,0,0
0,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4019,0,100600,400500,0,0
0,0,0,1,4,0,573,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4020,0,100600,400500,0,0
200100,0,0,1,4,0,573,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,4021,0,100600,400500,0,0
100902,0,0,1,6,0,575,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,0,4022,0,100600,400203,0,0
0,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4023,0,102000,400500,0,0
0,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4024,0,103000,400500,0,0
200100,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,3,0,4025,0,100600,400500,0,0
200100,0,0,1,5,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,4026,0,100600,400500,0,0
0,0,0,1,7,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4027,0,102000,400203,0,0
0,0,0,1,5,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4028,0,102000,400203,0,0
200100,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,4029,0,100600,400600,0,0
0,0,0,1,3,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,4030,0,100600,400600,0,0
100902,0,0,1,7,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,4031,0,100600,400203,0,0
0,0,0,1,5,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4032,0,102000,400500,0,0
100902,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,4033,0,100600,400500,0,0
100902,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,4034,0,100600,400500,0,0
100902,0,0,1,4,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,4035,0,100600,400500,0,0
0,0,0,1,7,0,592,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4036,0,103000,400500,0,0
122170,0,0,1,22,0,550,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18,0,0,4201,0,1,422050,0,0
122030,0,0,1,31,0,1031,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,29,0,0,4202,0,1,422015,0,0
122120,0,0,1,8,0,1032,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,0,4203,0,1,422155,0,0
122190,0,0,1,4,0,734,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,0,0,4204,0,1,422025,0,0
122285,0,0,1,5,0,1027,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,4205,0,1,422075,0,0
0,0,0,1,4,0,580,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,0,18,0,4206,0,100600,400203,0,0
0,0,0,1,14,0,587,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,0,3,0,4207,0,100600,400600,0,0
100900,0,0,1,4,0,578,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,11,3,0,4208,0,100600,400600,0,0
0,0,0,1,7,0,586,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,0,5,0,4209,0,104000,400203,0,0
100901,0,0,1,0,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,300800,0,0,0,0,0,1,0,0,4250,0,100600,400600,0,0
100901,0,0,1,2,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,300801,0,0,0,0,0,1,1,0,4251,0,100400,400700,0,0
100901,0,0,1,2,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300801,0,0,0,0,0,0,1,0,4252,0,100400,400700,0,0
200403,0,0,1,1,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,2,0,0,0,300801,0,0,0,0,0,2,0,0,4253,0,100400,400700,0,0
200403,0,0,1,1,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,4,0,0,0,300800,0,0,0,0,0,1,21,0,4254,0,100600,400600,0,0
200105,0,0,1,7,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300801,0,0,0,0,0,3,1,0,4255,0,101400,400600,0,0
200105,0,0,1,1,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,4,0,0,0,300800,0,0,0,0,0,2,1,0,4256,0,101400,400200,0,0
200105,0,0,1,4,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,5,0,0,0,300800,0,0,0,0,0,1,0,0,4257,0,101400,400600,0,0
100903,0,0,1,2,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,300800,0,0,0,0,0,1,1,0,4258,0,100400,400700,0,0
100903,0,0,1,6,0,575,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,300800,0,0,0,0,0,2,5,0,4259,0,100600,400700,0,0
100903,0,0,1,3,0,574,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,2,0,0,0,300800,0,0,0,0,0,1,7,0,4260,0,100600,400700,0,0
1,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,17,0,0,0,300800,0,0,0,0,0,0,0,0,4261,0,100011,1,0,0
200069,0,0,1,0,0,820,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4262,0,100011,400070,0,0
1,0,0,1,0,0,835,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300804,0,0,0,0,0,0,1,0,4263,0,100400,1,0,0
200090,0,0,1,0,0,551,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4264,0,1,400074,0,0
101902,0,0,1,0,0,825,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4265,0,1,401525,0,0
201200,0,0,1,2,0,834,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4266,0,1,401500,0,0
1,0,0,1,7,0,639,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4267,0,100500,400400,0,0
1,0,0,1,0,0,565,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,2,0,0,0,300800,0,0,0,0,0,0,0,0,4268,0,100500,1,0,0
200010,0,0,1,0,0,607,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4269,0,1,401300,0,0
1,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4270,0,100011,401300,0,0
124001,0,0,1,0,0,654,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4271,0,1,424001,0,0
0,0,0,1,7,0,577,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4300,0,100600,400600,0,0
101901,0,0,1,0,8,601,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300800,0,0,0,0,0,0,0,0,4305,0,1,400600,0,0
100904,0,0,1,2,0,600,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,4308,0,100600,400203,0,0
0,0,0,1,14,0,579,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4313,0,100600,400600,0,0
200100,0,0,1,1,0,595,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,3,0,4314,0,100600,400100,0,0
200100,0,0,1,1,8,597,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,4320,0,100600,400203,0,0
200100,0,0,1,2,8,597,0,190,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,4321,0,100600,400200,0,0
201101,0,0,1,0,8,601,0,260,0,0,0,11,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300801,0,0,0,0,0,0,22,0,4323,0,100600,0,0,0
0,0,0,1,0,8,601,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,3,0,0,0,300801,0,0,0,0,0,0,22,0,4325,0,100600,0,0,0
0,0,0,1,3,0,599,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,4327,0,100800,400602,0,0
101900,0,0,1,3,0,608,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4328,0,1,401500,0,0
200100,0,0,1,7,0,569,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,4335,0,103000,400203,0,0
0,0,0,1,2,0,594,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,4338,0,100600,400100,0,0
0,0,0,1,0,0,870,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4339,0,100011,400070,0,0
100903,0,0,1,1,8,597,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4355,0,1,400203,0,0
0,0,0,1,1,0,569,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4356,0,101101,400500,0,0
100903,0,0,1,3,0,561,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,4500,0,1,400500,0,0
200106,0,0,1,3,0,561,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,4501,0,100300,400500,0,0
0,0,0,1,4,4,569,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4504,0,101500,400900,0,0
0,0,0,1,2,5,562,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4507,0,101400,400900,0,0
0,0,0,1,3,0,568,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4509,0,100500,400100,0,0
0,0,0,1,1,0,566,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4511,0,100800,400400,0,0
0,0,0,1,1,0,566,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4512,0,102002,400300,0,0
200106,0,0,1,1,7,565,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4514,0,104000,400200,0,0
0,0,0,1,9,7,565,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4515,0,104000,400500,0,0
0,0,0,1,10,0,575,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4516,0,101700,400203,0,0
200105,0,0,1,4,0,560,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,4603,0,101430,400500,0,0
0,0,0,1,5,0,582,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,0,1,0,4605,0,101101,400600,0,0
0,0,0,1,0,0,583,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,4,0,0,0,300801,0,0,0,0,0,0,5,0,4606,0,100600,0,0,0
0,0,0,1,5,0,582,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,0,2,0,4607,0,100600,400203,0,0
200100,0,0,1,4,0,582,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,300803,0,0,0,0,0,10,5,0,4614,0,104000,400500,0,0
100900,0,0,1,5,0,575,0,0,0,0,0,9999,1,1,0,0,0,0,0,0,0,0,27,0,0,0,300800,0,0,0,0,0,5,0,0,4618,0,101150,401525,0,0
