teamkitid,chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,jerseynameoutlinecolorb,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,shortstemplateindex,jerseynamefonttype,teamcolorprimpercent,isgeneric,teamcolorsecpercent,year,jerseytemplateindex,captainarmband,teamtechid,isembargoed,hasadvertisingkit,jerseynameoutlinewidth,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,sockstemplateindex,jerseyrestriction
1766,0,1,12,68,0,0,220,12,12,220,233,220,12,71,220,220,12,0,220,14,12,0,1,250,12,0,220,233,220,252,220,0,220,250,0,220,12,68,0,220,220,12,220,236,220,0,2,-1,0,0,238,0,49,91,0,91,0,0,14,3,0,0,2,0,87,1,89,0,0,0,0
1352,0,1,0,62,0,0,220,197,0,220,229,220,197,63,220,197,46,0,220,60,46,0,1,229,0,0,46,35,220,24,220,0,220,25,0,220,197,229,0,0,220,46,220,36,220,0,0,-1,0,0,23,0,49,90,0,5,0,0,14,4,0,0,0,0,92,1,89,2,0,0,0
1353,0,1,68,229,0,0,238,220,220,220,69,220,36,232,12,12,69,0,12,60,220,0,1,35,220,0,12,229,220,232,57,0,220,229,5,220,220,71,0,12,52,220,12,232,220,0,1,-1,0,0,23,0,49,90,0,8,0,0,14,4,0,0,2,0,85,0,89,0,0,0,0
1767,0,1,220,226,0,0,12,220,220,12,193,12,220,226,12,12,220,0,12,60,220,0,1,107,220,0,12,193,12,106,12,0,12,107,0,12,220,226,0,12,12,220,12,192,12,0,2,-1,0,0,23,1,49,96,0,96,0,0,14,4,0,0,2,0,91,1,89,0,0,3,0
1354,0,1,220,119,0,0,220,220,220,220,51,12,220,119,12,12,220,1,12,13,220,0,1,33,220,0,12,51,220,33,220,0,12,33,0,12,220,119,0,12,220,220,12,51,220,0,0,-1,0,0,262,0,135,93,0,93,0,0,13,5,0,0,2,0,82,0,262,0,0,0,1
1355,0,1,30,113,0,0,33,28,30,99,228,220,28,199,220,220,77,1,220,13,77,0,1,248,30,0,220,60,41,247,41,0,220,47,26,220,28,200,0,220,99,77,220,228,33,0,1,-1,0,0,265,0,135,85,0,11,0,0,13,5,0,0,2,0,86,0,265,0,0,0,1
1356,0,1,12,65,0,0,25,12,12,25,97,220,12,47,220,220,12,1,220,13,12,0,1,227,12,0,220,139,25,228,25,0,220,254,0,220,12,47,0,220,25,12,220,98,25,0,2,-1,0,0,265,0,135,62,0,37,0,0,13,5,0,0,2,0,61,1,265,0,0,0,0
1357,0,1,220,68,0,0,220,220,220,220,26,12,220,25,12,12,220,1,12,13,220,0,1,21,220,0,12,62,220,11,220,0,12,61,7,12,220,34,0,12,220,220,12,16,220,0,3,-1,0,0,262,0,135,80,0,14,0,5,13,5,0,0,2,0,97,0,262,0,0,0,1
1358,0,1,30,130,0,0,220,220,220,99,71,220,28,231,12,12,77,1,12,13,220,0,1,29,220,0,12,71,41,231,220,0,220,29,0,220,220,130,0,12,220,220,12,231,33,0,0,-1,0,0,262,0,135,97,0,97,0,0,13,7,0,1,2,0,96,0,265,0,0,0,0
1359,0,1,227,70,0,0,220,224,227,220,61,12,224,72,12,12,41,1,12,13,41,0,1,57,227,0,12,61,220,58,220,0,12,57,0,12,224,70,0,12,220,41,12,62,220,0,1,-1,0,0,262,0,135,97,0,97,0,0,13,7,0,1,2,0,100,0,262,0,0,0,0
1768,0,1,220,71,0,0,220,220,220,220,194,12,220,91,12,12,220,1,12,13,220,0,1,120,220,0,12,138,220,120,220,0,12,95,0,12,220,91,0,12,220,220,12,195,220,0,2,-1,0,0,262,0,135,92,0,6,0,0,13,7,0,1,2,0,100,0,262,0,0,0,0
2769,0,1,220,90,0,0,33,28,30,220,227,12,220,90,220,220,220,1,220,13,77,0,1,232,30,0,220,72,220,72,41,0,12,72,7,12,28,220,0,220,99,77,220,72,220,0,3,-1,0,0,265,0,135,92,0,6,0,0,13,7,0,1,2,0,96,0,262,0,0,0,0
633,0,1,81,151,0,0,255,28,81,2,229,164,28,226,209,0,164,0,255,14,164,0,1,229,81,0,0,84,209,226,209,0,28,55,0,81,28,229,0,0,2,164,2,226,255,0,0,-1,0,0,23,0,49,91,0,6,0,9,14,8,0,0,0,0,89,1,89,0,0,0,0
634,0,1,81,47,0,0,255,28,81,2,191,164,28,46,209,0,164,0,255,14,164,0,1,228,81,0,0,191,209,228,209,0,28,228,11,81,28,47,0,0,2,164,2,191,255,0,1,-1,0,0,23,0,49,94,0,94,0,9,14,8,0,0,0,0,100,1,89,0,0,0,0
4385,0,1,193,54,0,0,220,251,193,220,124,220,251,76,220,251,95,0,220,14,95,0,1,0,193,0,95,222,220,0,220,0,220,161,7,220,251,77,0,193,220,95,220,123,220,0,2,-1,0,0,23,0,49,80,0,7,0,10,14,8,0,0,0,0,97,0,89,0,0,0,0
1360,0,1,220,43,0,0,220,220,220,220,18,12,220,42,12,12,220,0,12,13,220,0,1,154,220,0,12,18,220,153,220,0,12,154,19,12,220,43,0,12,220,220,12,17,220,0,0,-1,0,0,262,0,135,91,0,91,0,5,13,9,0,0,2,0,98,0,262,0,0,0,0
1361,0,1,220,36,0,0,220,220,220,220,36,12,220,36,12,12,220,0,12,13,220,0,1,36,220,0,12,36,220,36,220,0,12,36,0,12,220,36,0,12,220,220,12,36,220,0,1,-1,0,0,262,0,135,93,0,93,0,5,13,9,0,0,2,0,98,0,262,0,0,0,0
1769,0,1,220,72,0,0,220,220,220,220,24,12,220,28,12,12,220,0,12,13,220,0,1,21,220,0,12,66,220,21,220,0,12,66,0,12,220,28,0,12,220,220,12,23,220,0,2,-1,0,0,262,0,135,65,0,33,0,6,13,9,0,0,2,0,69,0,262,0,0,0,0
1770,0,1,220,220,0,0,25,12,12,220,220,12,220,26,220,220,220,0,220,13,12,0,1,218,12,0,220,220,220,18,25,0,12,218,7,12,12,220,0,220,25,12,220,22,220,0,3,-1,0,0,265,0,135,96,0,96,0,5,13,9,0,0,2,0,93,1,262,0,0,0,0
1362,0,1,30,75,0,0,220,220,220,99,162,220,28,231,12,12,77,1,12,500013,220,0,1,108,220,0,12,47,41,231,220,0,220,30,0,220,220,213,0,12,220,220,12,231,33,0,0,-1,0,0,262,0,135,92,0,5,0,0,13,10,0,1,2,0,97,0,265,0,0,0,0
1363,0,1,220,23,0,0,220,220,220,220,45,12,220,59,12,12,220,1,12,500013,220,0,1,43,220,0,12,213,220,40,220,0,12,185,10,12,220,67,0,12,220,220,12,40,220,0,1,-1,0,0,262,0,135,69,0,25,0,0,13,10,0,1,2,0,97,0,262,0,0,0,0
1771,0,1,12,30,0,0,25,12,12,25,111,220,12,85,220,220,12,1,220,500013,12,0,1,239,12,0,220,30,25,237,25,0,220,30,0,220,12,90,0,220,25,12,220,107,25,0,2,-1,0,0,265,0,135,93,0,6,0,0,13,10,0,1,2,0,99,0,265,0,0,0,0
4640,0,1,220,50,0,0,220,220,220,220,39,12,220,46,12,12,220,1,12,500013,220,0,1,104,220,0,12,39,220,102,220,0,12,104,7,12,220,50,0,12,220,220,12,37,220,0,3,-1,0,0,262,0,135,98,0,98,0,0,13,10,0,1,2,0,100,0,262,0,0,0,0
10415,0,1,160,187,0,0,25,25,47,131,134,61,219,143,220,220,131,1,220,500013,61,0,1,97,47,0,220,215,160,95,47,0,25,237,9,47,25,143,0,220,61,61,220,133,219,0,4,-1,0,0,262,0,135,50,0,25,0,0,13,10,0,1,2,0,95,0,265,0,0,0,0
1364,0,1,12,49,0,0,220,220,220,25,20,220,12,230,12,12,12,1,12,13,220,0,1,204,220,0,12,35,25,230,220,0,220,118,0,220,220,51,0,12,220,220,12,230,25,0,0,-1,0,0,262,0,135,83,0,8,0,9,13,11,0,0,2,0,88,1,265,0,0,0,0
1365,0,1,220,75,0,0,220,220,220,220,50,12,220,83,12,12,220,1,12,13,220,0,1,44,220,0,12,50,220,45,220,0,12,44,11,12,220,75,0,12,220,220,12,50,220,0,1,-1,0,0,262,0,135,97,0,97,0,9,13,11,0,0,2,0,100,0,262,0,0,0,0
1366,0,1,220,172,0,0,220,220,220,220,77,12,220,135,12,12,220,0,12,13,220,0,1,88,220,0,12,143,220,88,220,0,12,145,7,12,220,135,0,12,220,220,12,77,220,0,2,-1,0,0,262,0,135,78,0,9,0,10,13,11,0,0,2,0,100,0,262,0,0,0,0
1367,0,1,220,53,0,0,25,12,12,220,245,12,220,63,220,220,220,1,220,13,12,0,1,246,12,0,220,50,220,58,25,0,12,50,0,12,12,232,0,220,25,12,220,59,220,0,3,-1,0,0,265,0,135,88,0,9,0,8,13,11,0,0,2,0,97,1,262,3,0,0,0
1368,0,1,220,229,0,0,238,220,220,12,14,12,220,30,12,220,220,1,12,14,220,0,1,192,220,0,220,229,12,193,57,0,12,230,0,12,220,30,0,220,52,220,12,14,12,0,0,-1,0,0,23,0,49,79,0,19,0,0,14,12,0,1,0,0,94,0,89,0,0,0,0
1369,0,1,12,233,0,0,220,12,12,220,231,220,12,231,220,12,12,1,220,14,12,0,1,231,12,0,12,197,220,231,220,0,220,137,0,220,12,231,0,12,220,12,220,231,220,0,1,-1,0,0,23,0,49,54,0,39,0,0,14,12,0,1,0,0,83,1,89,0,0,0,0
1772,0,1,220,130,0,0,238,220,220,12,173,12,220,239,12,220,220,1,12,14,220,0,1,12,220,0,220,67,12,12,57,0,12,9,0,12,220,238,0,220,52,220,12,173,12,0,2,-1,0,0,23,0,49,77,0,12,0,0,14,12,0,1,0,0,97,1,89,0,0,0,0
1370,0,1,220,37,0,0,25,12,12,220,219,12,220,41,220,220,220,1,220,13,12,0,1,219,12,0,220,36,220,39,25,0,12,36,22,12,12,219,0,220,25,12,220,39,220,0,0,-1,0,0,265,0,135,48,0,47,0,9,13,13,0,0,2,0,100,0,262,0,0,0,1
1371,0,1,220,62,0,0,220,220,220,220,38,12,220,78,12,12,220,1,12,13,220,0,1,74,220,0,12,38,220,41,220,0,12,74,0,12,220,62,0,12,220,220,12,45,220,0,1,-1,0,0,262,0,135,95,0,95,0,11,13,13,0,0,2,0,100,0,262,0,0,0,1
1773,0,1,220,69,0,0,220,220,220,220,120,12,220,92,12,12,220,1,12,13,220,0,1,8,220,0,12,168,220,7,220,0,12,249,7,12,220,92,0,12,220,220,12,119,220,0,2,-1,0,0,262,0,135,79,0,8,0,6,13,13,0,0,2,0,95,0,262,0,0,0,0
3334,0,1,12,129,0,0,25,12,12,25,227,220,12,229,220,220,12,1,220,13,12,0,1,227,12,0,220,138,25,229,25,0,220,2,11,220,12,227,0,220,25,12,220,229,25,0,3,-1,0,0,265,0,135,72,0,17,0,9,13,13,0,0,2,0,89,1,265,0,0,0,1
635,0,1,30,58,0,0,220,220,220,220,15,220,234,231,12,12,45,0,12,13,220,0,1,182,220,0,12,15,220,231,220,0,220,182,0,220,220,58,0,12,220,220,12,231,220,0,0,-1,0,0,262,0,135,98,0,98,0,9,13,14,0,1,2,0,89,0,262,0,0,0,1
636,0,1,220,144,0,0,220,220,220,220,62,12,220,83,12,12,220,0,12,13,220,0,1,55,220,0,12,52,220,54,220,0,12,198,0,12,220,84,0,12,220,220,12,61,220,0,1,-1,0,0,262,0,135,79,0,10,0,7,13,14,0,1,2,0,90,0,262,0,0,0,1
3999,0,1,220,193,0,0,220,220,220,220,160,12,220,213,12,12,220,0,12,13,220,0,1,1,220,0,12,143,220,1,220,0,12,148,7,12,220,213,0,12,220,220,12,161,220,0,2,-1,0,0,262,0,135,77,0,8,0,6,13,14,0,1,2,0,91,1,262,0,0,0,0
7211,0,1,12,204,0,0,220,220,220,25,168,220,12,231,12,12,12,0,12,13,220,0,1,139,220,0,12,168,25,231,220,0,220,139,7,220,220,204,0,12,220,220,12,231,25,0,3,-1,0,0,262,0,135,97,0,97,0,7,13,14,0,1,2,0,89,1,265,0,0,0,1
637,0,1,0,117,0,0,220,197,0,220,231,220,197,232,220,197,46,1,220,14,46,0,1,231,0,0,46,56,220,232,220,0,220,7,0,220,197,231,0,0,220,46,220,232,220,0,0,-1,0,0,23,0,49,62,0,35,0,0,14,15,0,1,0,0,98,1,89,0,0,0,0
638,0,1,147,70,0,0,220,178,147,220,31,220,178,30,220,178,64,1,220,14,64,0,1,31,147,0,64,77,220,30,220,0,220,62,5,220,178,31,0,147,220,64,220,30,220,0,1,-1,0,0,23,0,49,91,0,5,0,0,14,15,0,1,0,0,99,0,89,0,0,0,0
4388,0,1,114,31,0,0,220,144,114,220,21,220,144,33,220,144,75,1,220,14,75,0,1,118,114,0,75,21,220,121,220,0,220,118,0,220,144,31,0,114,220,75,220,21,220,0,2,-1,0,0,23,0,49,99,0,99,0,0,14,15,0,1,0,0,100,0,89,0,0,0,0
639,0,1,220,231,0,0,220,220,220,220,18,12,220,29,12,12,220,1,12,13,220,0,1,184,220,0,12,231,220,29,220,0,12,231,0,12,220,39,0,12,220,220,12,29,220,0,0,-1,0,0,262,0,135,69,0,26,0,0,13,17,0,1,2,0,100,0,262,0,0,0,0
640,0,1,220,101,0,0,33,28,30,220,230,12,220,67,220,220,220,1,220,13,77,0,1,244,30,0,220,230,220,46,41,0,12,244,0,12,28,101,0,220,99,77,220,47,220,0,1,-1,0,0,265,0,135,95,0,95,0,0,13,17,0,1,2,0,100,0,262,0,0,0,0
4676,0,1,12,30,0,0,25,12,12,25,93,220,12,64,220,220,12,1,220,13,12,0,1,231,12,0,220,30,25,237,25,0,220,30,0,220,12,60,0,220,25,12,220,102,25,0,2,-1,0,0,265,0,135,92,0,5,0,0,13,17,0,1,2,0,99,0,265,0,0,0,0
1372,0,1,220,81,0,0,33,28,30,220,227,12,220,79,220,220,220,1,220,13,77,0,1,227,30,0,220,44,220,21,41,0,12,27,0,12,28,228,0,220,99,77,220,39,220,0,0,-1,0,0,265,0,135,64,0,33,0,5,13,18,0,1,2,0,94,1,262,0,0,0,1
1373,0,1,30,220,0,0,33,28,30,99,151,220,28,207,220,220,77,1,220,13,77,0,1,136,30,0,220,186,41,163,41,0,220,173,7,220,28,205,0,220,99,77,220,175,33,0,1,-1,0,0,265,0,135,60,0,20,0,5,13,18,0,1,2,0,88,0,265,0,0,0,1
1774,0,1,12,37,0,0,25,12,12,25,170,220,12,37,220,220,12,1,220,13,12,0,1,253,12,0,220,216,25,254,25,0,220,254,0,220,12,37,0,220,25,12,220,170,25,0,2,-1,0,0,265,0,135,62,0,35,0,5,13,18,0,1,2,0,60,0,265,0,0,0,0
3214,0,1,220,149,0,0,220,220,220,220,115,12,220,107,12,12,220,1,12,13,220,0,1,98,220,0,12,166,220,94,220,0,12,147,26,12,220,110,0,12,220,220,12,111,220,0,3,-1,0,0,262,0,135,69,0,12,0,5,13,18,0,1,2,0,85,1,262,0,0,0,1
1374,0,1,12,211,0,0,220,220,220,25,41,220,12,230,12,12,12,1,12,13,220,0,1,119,220,0,12,182,25,230,220,0,220,160,0,220,220,62,0,12,220,220,12,230,25,0,0,-1,0,0,262,0,135,72,0,25,0,0,13,19,0,1,2,0,100,0,265,0,0,0,0
1375,0,1,220,63,0,0,220,220,220,220,31,12,220,30,12,12,220,1,12,13,220,0,1,31,220,0,12,46,220,30,220,0,12,110,7,12,220,31,0,12,220,220,12,30,220,0,1,-1,0,0,262,0,135,92,0,5,0,0,13,19,0,1,2,0,97,0,262,0,0,0,0
1775,0,1,220,59,0,0,220,220,220,220,71,12,220,64,12,12,220,1,12,13,220,0,1,42,220,0,12,71,220,46,220,0,12,42,0,12,220,59,0,12,220,220,12,78,220,0,2,-1,0,0,262,0,135,98,0,98,0,0,13,19,0,1,2,0,100,0,262,0,0,0,0
5759,0,1,220,225,0,0,25,12,12,220,225,12,220,62,220,220,220,1,220,13,12,0,1,225,12,0,220,225,220,120,25,0,12,225,9,12,12,225,0,220,25,12,220,42,220,0,3,-1,0,0,265,0,135,94,0,94,0,0,13,19,0,1,2,0,97,1,262,0,0,0,0
1376,0,1,20,45,0,0,196,45,20,36,27,36,45,49,20,0,36,0,45,19,36,0,1,178,20,0,0,27,20,199,37,0,45,178,7,20,45,45,0,0,49,36,36,37,45,0,0,-1,0,0,272,0,129,97,0,97,0,9,0,21,0,0,0,0,100,0,272,0,0,0,0
1377,0,1,86,88,0,0,12,138,86,68,38,68,138,29,86,0,68,0,138,19,68,0,1,37,86,0,0,79,86,29,12,0,138,71,0,86,138,42,0,0,12,68,68,29,138,0,1,-1,0,0,272,0,129,84,0,9,0,9,0,21,0,0,0,0,100,0,272,0,0,0,0
1378,0,1,72,60,0,0,146,223,72,25,217,25,223,29,72,0,25,0,223,19,25,0,1,210,72,0,0,182,72,212,190,0,223,154,7,72,223,40,0,0,75,25,25,218,223,0,2,-1,0,0,272,0,129,78,0,10,0,10,0,21,0,0,0,0,96,1,272,0,0,0,0
1379,0,1,32,198,0,0,236,96,32,42,212,42,96,190,32,0,42,0,96,19,42,0,1,223,32,0,0,212,32,218,235,0,96,223,11,32,96,198,0,0,222,42,42,206,96,0,3,-1,0,0,1,0,8,96,0,96,0,8,0,21,0,0,0,0,90,1,1,3,0,0,0
1380,0,1,210,30,0,0,12,12,12,0,204,0,253,30,210,0,0,0,253,19,12,0,1,249,12,0,0,31,210,30,12,0,253,31,0,210,12,12,0,0,12,12,0,30,253,0,0,-1,0,0,222,0,0,67,0,30,0,0,100,22,0,0,0,0,96,0,222,0,0,0,1
1381,0,1,201,66,0,0,12,235,201,37,45,37,235,30,201,0,37,0,235,19,37,0,1,47,201,0,0,65,201,30,12,0,235,69,0,201,235,45,0,0,12,37,37,30,235,0,1,-1,0,0,222,0,0,84,0,10,0,0,100,22,0,0,0,0,96,0,222,0,0,0,1
1776,0,1,12,27,0,0,12,12,12,12,115,12,12,96,209,12,12,0,244,19,12,0,1,244,12,0,12,27,12,243,12,0,12,28,0,12,12,97,0,12,12,12,38,115,12,0,2,-1,0,0,222,0,0,90,0,7,0,0,100,22,0,0,0,0,96,1,222,0,0,0,0
1777,0,1,12,20,0,0,12,12,12,12,244,12,12,233,210,0,12,0,253,19,12,0,1,244,12,0,0,25,12,233,12,0,12,25,9,12,12,244,0,0,12,12,0,233,12,0,3,-1,0,0,222,0,0,93,0,5,0,0,100,22,0,0,0,0,99,0,222,0,0,0,1
11379,0,1,12,29,0,0,12,12,12,12,211,0,12,18,210,12,12,0,253,19,12,0,1,246,12,0,12,30,12,246,12,0,253,30,0,210,12,18,0,12,12,12,0,210,12,0,4,-1,0,0,222,0,0,82,0,13,0,0,0,22,0,0,0,0,96,0,222,0,0,0,0
1382,0,1,12,85,0,0,220,12,12,12,232,12,12,231,12,12,12,0,12,19,12,0,1,232,12,0,12,119,12,231,220,0,12,49,0,12,12,232,0,12,220,12,12,231,12,0,0,-1,0,0,240,0,0,81,0,12,0,0,0,23,0,0,0,0,96,1,240,0,0,0,1
1383,0,1,220,80,0,0,12,220,220,220,173,220,220,122,220,220,220,0,220,19,220,0,1,0,220,0,220,106,220,0,12,0,220,0,7,220,220,123,0,220,12,220,220,173,220,0,1,-1,0,0,240,0,0,76,0,10,0,0,0,23,0,0,0,0,96,0,240,0,0,0,1
1778,0,1,12,148,0,0,220,12,12,12,216,12,12,183,12,12,12,0,12,19,12,0,1,223,12,0,12,176,12,211,220,0,12,193,0,12,12,198,0,12,220,12,12,202,12,0,2,-1,0,0,240,0,0,72,0,20,0,0,0,23,0,0,0,0,97,0,240,0,0,0,1
3681,0,1,148,31,0,0,12,144,148,149,30,149,144,31,148,144,149,0,144,19,149,0,1,34,148,0,149,30,148,34,12,0,144,34,0,148,144,31,0,148,12,149,149,30,144,0,3,-1,0,0,240,0,0,97,0,97,0,0,0,23,0,0,0,0,100,0,240,0,0,0,1
17575,0,1,220,0,0,0,12,220,220,220,0,220,220,0,220,220,220,0,220,0,220,0,1,0,220,0,220,0,220,0,12,0,220,0,0,220,220,0,0,220,12,220,220,0,220,0,4,0,0,0,240,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,275,0,0,0,0
641,0,1,220,230,0,0,220,220,220,220,31,220,220,38,220,220,220,0,220,19,220,0,1,203,220,0,220,230,220,204,220,0,220,230,0,220,220,38,0,220,220,220,220,32,220,1,0,-1,0,0,2,0,17,92,0,5,0,5,0,25,0,0,0,0,93,0,2,0,0,0,0
4714,0,1,31,229,0,0,205,205,31,36,229,36,205,231,31,205,36,0,205,19,36,0,1,227,31,0,36,229,31,231,31,0,205,227,0,31,205,229,0,31,36,36,36,231,205,1,1,-1,0,0,2,0,17,94,0,94,0,5,0,25,0,0,0,0,100,0,2,0,0,0,0
4688,0,1,12,225,0,0,12,12,12,12,163,12,12,199,12,12,12,0,12,19,12,0,1,1,12,0,12,241,12,156,12,0,12,106,0,12,12,177,0,12,12,12,12,215,12,1,2,-1,0,0,2,0,17,51,0,43,0,6,0,25,0,0,0,0,100,1,2,0,0,0,0
642,0,1,220,30,0,0,220,220,220,220,30,220,220,30,220,220,220,0,220,19,220,0,1,30,220,0,220,30,220,30,220,0,220,30,0,220,220,30,0,220,220,220,220,30,220,1,3,-1,0,0,2,0,17,97,0,97,0,0,0,25,0,0,0,0,100,0,2,0,0,0,0
17551,0,1,220,0,0,0,220,220,220,220,0,220,220,0,220,220,220,0,220,0,220,0,1,0,220,0,220,0,220,0,220,0,220,0,5,220,220,0,0,220,220,220,220,0,220,0,4,0,0,0,2,0,17,0,0,0,0,0,0,25,1,0,0,0,0,0,2,0,0,0,0
643,0,1,220,185,0,0,3,3,115,220,225,220,220,188,115,3,220,0,3,2076,187,0,1,225,115,0,187,115,220,2,115,0,220,0,0,220,3,225,0,115,187,187,187,117,220,0,0,-1,0,0,6,0,1,83,0,12,0,0,0,27,0,0,0,0,100,1,6,0,0,0,0
644,0,1,115,230,0,0,220,220,220,187,114,187,3,231,220,220,187,0,220,2076,220,0,1,2,220,0,220,229,115,231,220,0,3,227,7,115,220,184,0,220,220,220,220,231,3,0,1,-1,0,0,6,0,1,91,0,7,0,0,0,27,0,0,0,0,95,0,6,0,0,0,0
4750,0,1,158,39,0,0,12,12,12,107,159,107,175,29,40,175,107,0,41,2076,12,0,1,176,12,0,107,39,158,29,12,0,175,40,0,158,12,108,0,158,12,12,40,29,175,0,2,-1,0,0,6,2,1,66,0,33,0,3,0,27,0,0,2,0,80,0,6,0,0,1,0
