competitionid,hometeamid,matchupid,homepotid,awayteamid
227,116326,41,0,131361
223,73,42,0,247
224,896,42,1,457
226,10020,42,5,433
227,131358,42,1,115995
223,209,43,3,237
224,393,43,1,110468
226,306,43,3,230
227,116034,43,1,116282
223,1,44,1,101059
224,113888,44,2,245
226,298,44,5,101037
227,131125,44,1,116280
223,243,45,0,22
224,52,45,0,101047
226,100135,45,1,110374
227,131363,45,2,116010
223,115845,46,1,78
224,448,46,3,266
226,5,46,0,461
227,131360,46,2,116033
223,378,47,3,32
224,236,47,0,10029
226,710,47,1,1884
227,116282,47,1,116325
223,240,48,1,65
224,1908,48,3,115841
226,819,48,0,101014
227,131125,48,1,115998
223,241,49,0,21
224,326,49,1,11
226,80,49,3,111235
227,116326,49,0,115995
223,234,50,1,246
224,66,50,1,327
226,110745,50,4,417
227,116017,50,1,116034
223,191,51,2,211
224,320,51,2,280
226,563,51,5,898
227,131363,51,2,131359
223,10,52,0,267
224,86,52,0,100761
226,252,52,0,1750
227,116010,52,0,131362
223,112172,53,0,9
224,229,53,3,114385
226,449,53,0,263
227,116280,53,1,116009
223,900,54,2,131682
224,2,54,0,1906
226,1887,54,2,897
227,131358,54,1,131361
223,247,55,2,110062
224,327,55,3,320
226,101014,55,1,77
223,1809,56,3,211
224,918,56,2,113888
226,433,56,2,1887
223,189,57,3,69
224,1824,57,0,266
226,111235,57,1,5
223,22,58,0,209
224,700,58,3,1896
226,1750,58,3,80
223,78,59,2,112172
224,100761,59,3,1516
226,310,59,5,819
223,65,60,2,45
224,325,60,2,2
226,461,60,5,298
223,9,61,0,32
224,114385,61,2,448
226,898,61,4,873
223,237,62,2,10
224,72,62,3,1908
226,101037,62,4,252
223,243,63,0,131681
224,280,63,1,86
226,417,63,1,100135
223,231,64,1,18
224,2014,64,2,52
226,263,64,5,110745
223,101059,65,1,900
224,245,65,0,896
226,1884,65,4,100325
223,1799,66,2,241
224,1906,66,1,326
226,230,66,3,710
223,21,67,0,234
224,101047,67,2,1874
226,110374,67,0,10020
223,246,68,2,191
224,115841,68,0,236
226,10032,68,3,674
223,131682,69,0,1
224,11,69,0,393
226,897,69,3,449
223,73,70,0,240
224,269,70,3,229
226,271,70,2,563
223,267,71,3,378
224,10029,71,3,66
226,71,71,2,1871
223,36,72,3,115845
224,110468,72,2,457
226,254,72,2,306
223,1809,73,3,131681
224,448,73,3,700
226,433,73,2,5
223,267,74,3,240
224,1906,74,1,325
226,110374,74,0,252
223,241,75,0,378
224,327,75,3,896
226,819,75,0,80
223,32,76,1,191
224,101047,76,2,110468
226,310,76,5,563
223,21,77,0,73
224,115841,77,0,114385
226,461,77,5,100135
223,131682,78,0,112172
224,113888,78,2,66
226,77,78,4,449
223,10,79,0,246
224,269,79,3,393
226,100325,79,2,417
223,237,80,2,1
224,229,80,3,236
226,101014,80,1,111235
223,900,81,2,115845
224,1516,81,2,1824
226,1871,81,1,10032
223,1799,82,2,36
224,1908,82,3,2014
226,271,82,2,1750
223,209,83,3,110062
224,100761,83,3,280
226,898,83,4,1887
223,18,84,3,45
224,1874,84,1,320
226,897,84,3,110745
223,189,85,3,65
224,11,85,0,918
226,674,85,0,873
223,78,86,2,231
224,72,86,3,86
226,71,86,2,254
223,211,87,2,22
224,457,87,1,245
226,10020,87,5,263
223,9,88,0,243
224,266,88,0,326
226,306,88,3,101037
223,69,89,3,234
224,1896,89,1,10029
226,230,89,3,1884
223,247,90,2,101059
224,2,90,0,52
226,298,90,5,710
223,211,91,2,78
224,326,91,1,448
226,111235,91,1,898
223,110062,92,3,9
224,114385,92,2,1906
226,100135,92,1,433
223,115845,93,1,243
224,320,93,2,325
226,1750,93,3,101014
223,32,94,1,131682
224,280,94,1,1908
226,5,94,0,306
223,378,95,3,247
224,393,95,1,1874
226,710,95,1,1871
223,231,96,1,237
224,52,96,0,1896
226,10032,96,3,10020
223,191,97,2,73
224,10029,97,3,100761
226,101037,97,4,71
223,112172,98,0,18
224,2014,98,2,72
226,873,98,4,461
223,101059,99,1,21
224,110468,99,2,11
226,80,99,3,77
223,240,100,1,1809
224,245,100,0,115841
226,110745,100,4,271
223,65,101,2,209
224,918,101,2,327
226,563,101,5,674
223,234,102,1,189
224,700,102,3,113888
226,252,102,0,298
223,22,103,0,241
224,236,103,0,1516
226,417,103,1,897
223,246,104,2,267
224,66,104,1,1824
226,263,104,5,230
223,45,105,1,10
224,896,105,1,269
226,1884,105,4,310
223,131681,106,1,1799
224,86,106,0,2
226,449,106,0,100325
223,36,107,3,900
224,457,107,1,101047
226,254,107,2,819
223,1,108,1,69
224,266,108,0,229
226,1887,108,2,110374
223,115845,109,1,209
224,325,109,2,101047
223,69,110,3,18
224,327,110,3,448
223,240,111,1,32
224,1906,111,1,52
223,234,112,1,241
224,918,112,2,896
223,189,113,3,22
224,236,113,0,280
223,231,114,1,45
224,326,114,1,66
223,1799,115,2,247
224,320,115,2,1908
223,9,116,0,65
224,113888,116,2,100761
223,1809,117,3,36
224,10029,117,3,2
223,112172,118,0,237
224,110468,118,2,229
223,101059,119,1,378
224,393,119,1,266
223,78,120,2,900
224,269,120,3,245
223,246,121,2,21
224,2014,121,2,1896
223,131681,122,1,110062
224,114385,122,2,1516
223,73,123,0,10
224,1824,123,0,1874
223,267,124,3,131682
224,700,124,3,72
223,1,125,1,211
224,115841,125,0,457
223,243,126,0,191
224,11,126,0,86
223,18,127,3,78
224,245,127,0,325
223,241,128,0,115845
224,448,128,3,110468
223,32,129,1,267
224,101047,129,2,269
223,22,130,0,101059
224,1516,130,2,326
223,378,131,3,243
224,1908,131,3,327
223,211,132,2,131681
224,100761,132,3,11
223,21,133,0,1809
224,1874,133,1,1906
223,191,134,2,240
224,66,134,1,114385
223,110062,135,3,1
224,896,135,1,236
223,131682,136,0,69
224,72,136,3,918
223,45,137,1,234
224,280,137,1,113888
223,65,138,2,246
224,86,138,0,2014
223,10,139,0,231
224,457,139,1,393
223,247,140,2,9
224,52,140,0,1824
223,209,141,3,112172
224,229,141,3,10029
223,237,142,2,189
224,266,142,0,320
223,36,143,3,73
224,1896,143,1,115841
223,900,144,2,1799
224,2,144,0,700
