firstnameid,lastnameid,playerjerseynameid,commonnameid,role4,role3,gkglovetypecode,role5,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,facepsdlayer0,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,preferredposition5,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,preferredposition6,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,artificialkey,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,preferredposition7,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,sockstylecode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,facepsdlayer1,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
31264,3337,3337,0,0,0,0,0,31,132,30401,0,0,38,92,1,80,0,0,0,86,0,21,0,33,-1,88,84,0,0,0,82,5,0,36,7,85,91,10,0,87,84,252001,93,2030,86,93,32,0,-1,0,2019,91,82,0,174,1,0,-1,60,1,140380,18,0,0,94,60,72,4195337,0,73,0,2,0,1048576,81,0,1114,8,38,5,-1,92,88,4,0,11,0,0,0,39,86,90,73,0,-1,0,0,15,1,0,1,0,0,160432,0,0,27,1,0,4,64,2,0,74,1114,0,7,1,3,0,82,2,0,91,500,2,0,0,0,1,0,0,0,0,0,292,0,84,36,0,-1,83,0,0,0
23395,9030,9030,0,0,0,0,0,15,111,2010000,1,0,0,48,0,57,0,0,0,50,0,82,0,87,-1,70,53,0,0,0,57,7,0,89,15,51,88,11,0,85,90,250101,71,2030,40,59,85,0,-1,0,5002,66,83,0,185,1,0,10,90,1,140947,5,0,0,74,88,71,269352976,0,81,0,2,0,32768,56,0,1116,5,88,4,-1,74,40,1,0,12,0,0,0,91,80,65,87,0,-1,0,0,14,3,0,1,0,0,160432,0,0,18,1,0,3,82,4,0,81,1116,0,8,0,1,256,51,10,0,88,500,3,0,0,0,1,0,0,0,0,0,4,0,82,90,0,-1,50,0,0,0
13181,5655,5655,0,0,0,16,0,0,101,60401,1,0,287,23,1,64,0,0,0,14,0,68,0,16,-1,35,25,0,0,0,16,94,16,28,28,13,91,93,0,88,70,242101,67,2030,19,25,14,0,-1,0,52,93,48,0,192,0,0,-1,75,1,144377,0,0,0,26,89,59,0,0,82,1,2,0,0,58,0,1179,78,51,5,-1,37,17,0,0,13,0,0,0,42,53,78,13,0,-1,0,0,86,2,0,1,0,0,161228,0,0,27,1,0,2,78,5,3,42,1179,0,89,0,0,4608,86,3,0,91,500,4,0,0,0,1,0,0,0,0,0,2,0,94,18,0,-1,18,0,0,0
11340,6198,6198,0,0,0,0,0,11,112,2190103,0,3,0,61,0,82,0,0,0,35,0,43,0,93,-1,68,51,0,0,0,48,11,0,94,15,57,89,13,0,89,80,252001,53,2030,38,57,92,0,-1,0,42,67,77,0,176,1,0,-1,85,1,142779,5,0,0,68,83,56,950304,0,74,1,2,0,65536,80,0,1183,14,93,5,-1,71,36,1,0,14,0,0,0,83,83,62,88,0,-1,0,0,6,8,0,1,0,0,160684,0,0,27,1,0,3,91,2,0,76,1183,0,13,0,1,256,44,3,0,89,500,2,0,0,0,1,0,0,0,0,0,2,0,80,93,0,-1,41,0,0,0
13176,40058,40058,0,0,41,0,0,31,132,2150000,0,3,0,87,0,82,0,0,0,87,0,83,0,43,-1,81,86,0,0,0,87,15,0,32,15,82,81,8,0,88,83,250101,85,2030,90,91,36,0,-1,0,3,89,83,0,168,1,0,25,59,1,140152,18,0,0,89,63,88,1048584,0,67,1,2,0,1,84,0,1201,14,41,4,-1,87,90,3,0,15,0,0,0,62,87,85,62,0,-1,0,0,14,1,0,1,0,0,160432,0,0,27,1,0,4,51,3,0,74,1201,0,7,0,2,0,88,4,0,81,500,3,0,0,0,2,0,0,0,0,0,2,0,85,40,0,-1,81,0,0,3
40006,39970,39970,0,0,0,0,0,21,131,2320000,0,0,287,87,0,78,0,0,0,90,0,29,0,76,-1,95,88,0,0,0,92,10,0,83,0,92,94,7,0,94,96,250101,96,2030,89,96,65,0,-1,3,2502,94,82,0,185,1,0,14,86,3,142332,18,0,0,96,84,88,5243905,0,77,0,2,0,256,85,0,1397,15,73,5,-1,96,90,4,0,16,0,0,0,77,84,94,86,0,-1,0,0,8,10,0,1,0,26,160432,0,0,18,1,0,5,73,2,0,86,1397,0,12,0,3,0,90,4,0,94,503,5,0,0,0,1,0,0,0,11,0,85,0,83,62,0,-1,91,0,0,0
22187,13322,13322,0,0,0,0,0,0,126,60401,0,0,287,78,0,88,0,0,0,80,0,636,0,45,-1,77,75,0,0,0,83,6,0,46,0,82,86,6,0,83,83,244101,82,2030,83,84,42,0,-1,0,1505,85,87,0,164,1,0,-1,48,1,143810,12,0,0,85,58,86,101724161,0,62,1,2,0,32,93,0,1551,16,49,4,-1,84,72,3,0,17,0,0,0,52,90,81,63,0,-1,0,0,8,1,0,1,0,0,160890,0,0,18,1,0,4,40,4,0,85,1551,0,9,0,3,4096,83,4,0,86,501,3,0,0,0,1,0,0,0,15,0,8,0,88,54,0,-1,90,0,0,0
31256,29542,29519,0,0,32,0,0,25,129,2320401,0,3,288,84,0,81,0,0,0,85,0,56,0,36,18,81,79,2,0,0,75,6,0,44,15,85,87,10,0,81,83,252001,88,2030,83,88,34,0,-1,1,1505,86,86,0,187,1,0,12,63,1,142825,16,0,0,89,64,74,34603264,1,74,1,2,0,1,76,0,1605,11,38,4,-1,84,81,3,0,18,0,0,0,44,86,84,55,0,-1,0,0,6,9,0,1,0,16,160432,0,0,18,1,0,4,73,4,0,81,1605,0,14,0,3,0,79,3,0,87,500,3,0,0,0,1,0,0,0,0,0,4,0,86,31,0,-1,75,0,0,0
21577,36001,36001,0,0,0,0,0,12,103,2010401,1,0,0,63,0,77,0,0,0,68,0,1,0,88,-1,78,42,0,0,0,59,13,0,88,15,74,88,14,0,83,84,250101,74,2030,57,71,94,0,-1,0,3002,75,88,0,182,1,0,5,90,1,142158,4,0,0,77,90,63,269139968,0,75,0,2,0,262144,83,0,1615,7,90,4,-1,83,42,2,0,19,0,0,0,90,89,76,87,0,-1,0,0,8,9,0,1,0,0,161228,0,0,18,1,0,3,86,3,0,89,1615,0,15,0,1,0,58,10,0,88,500,3,0,0,0,1,0,0,0,0,0,2,0,88,92,0,-1,55,0,0,0
10731,29247,29247,0,0,9,0,0,18,114,60401,0,2,287,71,0,77,0,0,0,79,0,7,0,88,7,82,62,0,0,0,88,8,0,87,15,71,87,11,0,82,85,252001,75,2030,69,70,84,0,-1,0,4003,76,78,0,185,1,0,14,86,1,141692,10,0,0,84,87,88,17236228,0,79,0,2,0,67108864,71,0,1620,13,85,4,-1,88,69,2,0,20,0,0,0,88,75,79,77,0,-1,0,0,12,10,0,1,0,0,160432,0,0,18,2,0,3,76,5,0,90,1620,0,14,0,2,512,77,2,0,87,500,4,0,0,0,1,0,0,0,0,0,2,0,77,82,0,-1,74,0,0,6
35934,15059,15059,0,0,0,0,0,39,141,2150401,0,0,243,92,0,88,0,0,0,92,0,25,0,49,-1,74,84,0,0,0,86,10,0,51,15,78,91,10,0,90,85,240101,80,2030,93,89,43,0,-1,0,530,89,93,0,188,1,0,27,81,1,144213,25,0,0,92,78,87,37748737,2,83,1,2,0,2097152,76,0,1625,7,51,5,-1,86,85,3,0,21,0,0,0,62,93,82,84,0,-1,0,0,12,9,0,1,0,0,160432,0,0,18,1,0,4,69,3,0,86,1625,0,10,0,3,0,90,7,0,91,500,2,0,0,0,1,0,0,0,0,0,5,2,93,44,20,-1,89,0,0,0
7397,23056,23012,0,0,24,0,0,19,114,1360401,1,0,28,49,0,83,0,0,0,59,0,1,0,92,12,80,48,0,0,0,52,6,0,90,15,69,87,14,0,88,87,250101,79,2030,41,70,83,0,-1,0,1024,78,80,0,174,1,0,14,83,1,142572,10,0,0,82,86,59,84213760,0,70,1,2,0,32768,89,0,1668,10,86,4,-1,87,34,2,0,22,0,0,0,87,83,76,56,0,-1,0,0,14,3,0,1,0,0,160432,0,0,18,1,0,3,84,3,0,90,1668,0,7,0,1,256,48,9,0,87,500,2,0,0,0,6,0,0,0,0,0,2,0,81,87,0,-1,40,0,0,0
27827,34253,34252,0,0,0,0,0,0,142,2010000,1,5,0,84,0,80,0,0,0,92,0,21,0,37,-1,69,82,0,0,0,84,7,0,41,15,72,86,15,10,90,88,252001,81,2030,91,83,41,0,-1,0,4001,84,84,0,178,1,0,-1,66,1,142580,25,0,0,86,66,84,4194304,0,74,0,2,0,1,75,0,1845,11,45,4,-1,75,64,2,0,23,0,0,0,52,86,75,84,0,-1,0,0,7,2,1,1,0,0,160102,0,0,36,1,0,4,67,5,0,75,1845,0,11,0,2,512,88,2,0,86,500,2,0,0,0,1,0,0,0,0,0,2,0,85,44,2,-1,87,0,0,6
31042,33857,30239,31044,0,0,0,0,11,112,2320401,0,20,0,54,1,77,0,0,0,48,0,99,0,91,-1,77,52,0,0,0,59,16,0,88,15,64,88,12,0,86,83,244101,63,2030,53,65,89,0,-1,0,1506,73,78,0,183,1,0,-1,78,1,144487,5,0,0,79,82,64,802848,0,79,1,2,0,131072,82,0,3622,8,91,4,-1,82,48,1,0,24,0,0,0,86,75,71,89,0,-1,0,0,13,6,0,1,0,0,160444,0,0,38,1,0,3,88,4,0,84,3622,0,12,0,1,4096,56,4,0,88,500,3,0,0,0,3,0,0,0,0,0,2,0,77,93,0,-1,52,0,0,0
31204,5033,31203,31203,0,0,0,0,32,139,2320401,0,0,0,93,0,89,0,0,0,89,0,45,0,42,-1,83,85,0,0,0,91,12,0,37,15,86,90,12,0,90,91,250101,87,2030,86,92,39,0,-1,0,1514,91,87,0,186,1,0,18,79,0,142267,27,0,0,92,75,91,4194345,0,75,1,2,0,1048576,78,0,4231,15,42,5,-1,87,90,3,0,25,0,0,0,58,86,87,74,0,-1,3,0,10,9,0,1,0,0,160432,0,0,54,2,0,2,72,2,0,82,4231,0,11,0,3,0,88,5,0,90,500,3,0,0,0,1,0,0,0,0,0,2,0,87,37,2,-1,90,0,0,0
15592,34726,34726,0,0,39,0,0,36,141,2210000,0,0,287,88,0,88,0,0,0,90,0,21,0,52,27,81,90,0,0,0,90,11,0,52,15,84,89,6,20,87,87,252001,87,2030,92,91,47,0,-1,0,2001,90,89,0,178,0,0,23,81,1,140005,25,0,0,90,84,90,9,0,73,1,2,0,1048576,82,0,4833,7,49,5,-1,83,88,3,0,26,0,0,0,91,91,84,80,0,-1,0,0,12,4,0,1,0,0,160432,0,0,9,2,0,3,77,3,0,84,4833,0,8,0,2,0,91,3,0,89,500,5,0,0,0,2,0,0,0,0,0,2,0,90,35,17,-1,90,0,0,0
23445,40272,6012,6012,0,0,0,0,6,105,2320401,1,0,0,75,0,75,0,0,0,71,0,47,0,90,-1,71,71,0,0,0,64,12,0,90,5,91,91,6,0,89,87,250101,82,2030,44,86,84,0,-1,0,4003,85,90,0,176,1,0,-1,83,2,141585,4,0,0,87,83,65,16384,0,75,0,2,0,67108864,79,0,5003,7,88,5,-1,87,61,3,0,27,0,0,0,74,91,83,78,0,-1,0,0,15,1,0,1,0,22,160432,0,0,54,1,0,3,80,2,0,92,5003,0,13,0,3,0,56,6,0,91,500,2,0,0,0,1,0,0,0,0,0,2,0,90,88,0,-1,60,0,0,0
24825,28322,28322,0,0,0,0,0,41,142,2150000,0,3,287,71,0,85,0,0,0,93,0,115,0,30,-1,52,86,0,0,0,79,7,0,31,15,66,84,8,0,89,82,242101,71,2030,93,89,30,0,-1,0,2007,87,89,0,173,0,0,-1,61,1,145062,25,0,0,85,66,85,35651585,0,70,0,2,0,2,84,0,5419,10,35,4,-1,78,66,2,0,28,0,0,0,56,90,69,82,0,-1,0,0,15,1,0,1,0,0,160432,0,0,14,1,0,4,83,3,0,79,5419,0,10,0,2,2048,88,2,0,84,500,2,0,0,0,1,0,0,0,0,0,2,0,89,28,17,-1,88,0,0,3
4662,21803,21803,0,0,0,0,0,0,107,1140000,0,3,287,74,0,77,0,0,0,77,0,119,0,83,-1,85,68,0,0,0,62,14,0,85,15,86,88,10,0,86,83,250101,72,2030,47,78,87,0,-1,0,2508,82,85,0,169,1,0,-1,77,1,141405,7,0,0,86,82,77,33723424,0,70,0,2,0,262144,91,0,5454,7,83,4,-1,84,51,2,0,29,0,0,0,86,89,80,69,0,-1,0,0,7,3,0,1,0,0,160890,0,0,18,2,0,3,72,2,0,89,5454,0,6,0,1,0,59,4,0,88,500,4,0,0,0,3,0,0,0,0,0,2,0,87,85,0,-1,65,0,0,3
17002,6423,6423,0,0,7,0,0,3,111,1140000,0,0,287,60,0,63,0,0,0,52,0,154,0,87,7,73,68,0,0,0,52,16,0,87,15,65,86,16,0,85,82,242101,64,2030,41,63,90,0,-1,0,46,67,71,0,185,1,0,4,85,1,144377,5,0,0,71,84,73,278528,0,83,1,2,0,32768,61,0,5467,9,87,4,-1,75,43,1,0,30,0,0,0,89,69,68,83,0,-1,0,0,14,5,1,1,0,0,161292,0,0,14,1,0,3,86,5,0,78,5467,0,15,0,1,4608,52,3,0,86,500,4,0,0,0,1,0,0,0,0,0,5,0,70,88,0,-1,44,0,0,0
12220,20765,20765,0,0,16,0,0,31,118,1140401,0,3,0,82,0,70,0,0,0,83,0,17,0,73,10,90,87,1,0,0,92,12,0,76,15,80,87,8,0,87,87,242101,82,2030,87,84,60,0,-1,0,2000,84,78,0,184,0,0,18,78,2,144520,14,0,0,89,80,90,16780040,0,89,1,2,0,4,71,0,5471,15,71,4,-1,91,85,2,0,31,0,0,0,73,75,86,68,0,-1,0,0,14,6,0,1,0,0,160432,0,0,14,1,0,4,77,5,0,90,5471,0,10,0,2,512,88,3,0,87,502,2,0,0,0,1,0,0,0,2,0,2,2,77,70,18,-1,84,0,0,3
16117,6514,6513,6513,0,0,8,0,0,102,2210000,0,3,287,24,1,66,0,0,0,18,0,40,0,16,-1,56,29,0,0,0,28,90,2,27,1,29,90,93,0,89,68,242101,69,2030,31,29,21,0,-1,0,1518,93,54,0,185,3,0,-1,69,1,145585,0,0,0,33,88,63,0,0,80,1,2,0,0,56,0,5479,84,59,5,-1,59,27,0,0,32,0,0,0,30,62,84,37,0,-1,0,0,88,4,0,1,0,0,160432,0,0,45,2,0,3,81,5,2,44,5479,0,88,0,0,4624,88,2,0,90,502,4,0,0,0,1,0,0,0,19,0,2,0,90,28,0,-1,27,0,0,0
22343,22742,11859,22342,0,23,0,0,37,135,60000,0,0,287,75,0,89,0,0,0,88,0,129,0,38,18,81,82,2,0,0,86,8,0,38,15,90,88,13,0,87,87,252001,85,2030,85,92,36,0,-1,0,1518,90,88,0,180,1,0,12,75,1,142466,23,0,0,91,77,81,8392716,0,75,1,2,0,1048576,77,0,5589,12,38,5,-1,88,81,3,0,33,0,0,0,75,91,86,59,0,-1,0,0,8,3,0,1,0,0,160432,0,0,38,1,0,4,67,2,0,85,5589,0,10,0,3,0,84,3,0,88,500,3,0,0,0,1,0,0,0,0,0,2,0,89,33,0,-1,77,0,0,0
11739,25622,25621,11744,0,0,0,0,42,144,60401,0,0,287,69,0,77,0,0,0,92,0,85,0,42,-1,69,88,0,0,0,86,6,0,39,15,72,89,14,0,87,87,242101,83,2030,92,84,41,0,-1,0,1539,83,85,0,186,1,0,-1,90,1,143714,25,0,0,84,86,91,4194320,0,79,0,2,0,2,74,0,5661,11,45,5,-1,81,76,3,0,34,0,0,0,74,82,77,96,0,-1,0,0,12,3,0,1,0,8,160215,0,0,45,1,0,4,92,3,0,85,5661,0,14,0,3,0,90,3,0,89,503,3,0,0,0,1,0,0,0,12,0,5,0,84,36,0,-1,88,0,0,0
17128,21729,21729,0,0,18,0,0,32,131,2010000,0,3,0,86,0,77,0,0,0,93,0,204,0,25,-1,79,87,0,0,0,88,13,0,44,0,76,88,7,24,92,91,252001,87,2030,88,80,28,0,-1,0,14,83,84,0,182,1,0,14,73,1,141843,18,0,0,90,65,82,3,0,78,0,2,0,4194304,72,0,5673,13,35,4,-1,87,80,2,0,35,0,0,20,22,80,83,70,0,-1,17,0,8,9,0,1,0,0,160922,0,0,17,1,0,4,62,5,0,85,5673,0,15,0,2,2560,87,3,0,88,500,2,0,0,0,3,0,0,0,0,0,2,0,82,31,2,-1,89,0,0,3
27415,18785,18785,0,0,0,0,0,0,143,2150401,1,0,28,83,1,81,0,0,0,88,0,241,0,33,-1,68,86,0,0,0,81,9,0,36,15,77,86,6,0,87,89,240101,87,2030,88,88,27,0,-1,0,1024,87,83,0,196,1,0,-1,78,1,143832,25,0,0,89,75,83,4194592,0,80,0,2,0,0,74,0,5679,7,40,4,-1,86,68,2,0,36,0,0,0,68,74,81,78,0,-1,0,0,12,9,0,1,0,0,160921,0,0,133,1,0,3,56,4,0,77,5679,0,10,0,3,0,85,9,0,86,500,2,0,0,0,7,0,0,0,0,0,4,2,79,40,11,-1,82,0,0,0
16800,34540,34540,0,0,0,0,0,11,112,2150000,0,0,0,45,0,67,0,0,0,52,0,0,0,92,-1,67,52,0,0,0,52,6,0,85,15,61,87,10,0,83,87,252001,49,2030,41,58,88,0,-1,0,2,68,86,0,191,0,0,-1,92,1,142356,5,0,0,79,88,80,704512,0,86,0,2,0,268435456,68,0,5740,15,89,4,-1,74,39,1,0,37,0,0,0,91,80,62,87,0,-1,0,0,14,2,0,1,0,0,161228,0,0,34,1,0,3,82,3,0,79,5740,0,12,0,1,0,52,3,0,87,500,5,0,0,0,3,0,0,0,0,0,2,0,83,89,0,-1,42,0,0,1
28910,26682,26682,0,0,31,0,0,29,127,2150000,0,2,0,84,0,80,0,0,0,85,0,11,0,51,-1,85,82,0,0,0,91,9,0,62,15,86,88,6,0,85,82,252001,87,2030,80,89,48,0,-1,0,2022,87,84,0,177,1,0,18,71,1,142400,16,0,0,90,77,88,73400328,0,72,1,2,0,4,77,0,6235,14,58,4,-1,86,85,3,0,38,0,0,0,81,84,86,74,0,-1,0,0,12,2,0,1,0,0,160432,0,0,12,1,0,5,66,3,0,88,6235,0,9,0,3,0,84,2,0,88,500,4,0,0,0,2,0,0,0,0,0,2,0,84,61,0,-1,80,0,0,1
12260,21813,21813,0,0,0,0,0,25,129,1360000,0,13,287,83,0,84,0,0,0,84,0,86,0,42,-1,75,71,0,0,0,78,6,0,44,0,81,86,7,0,86,79,242101,83,2030,86,88,36,0,-1,0,2022,86,86,0,175,1,0,12,74,3,144090,16,0,0,86,77,79,1282,0,73,0,2,0,2097152,80,0,6975,12,45,4,-1,84,78,3,0,39,0,0,0,73,89,82,58,0,-1,0,0,5,1,0,1,0,0,160159,0,0,46,1,0,4,68,3,0,86,6975,0,7,0,2,0,81,2,0,86,500,3,0,0,0,1,0,0,0,0,0,1,1,87,48,0,-1,70,0,0,3
