starrating,firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,facepsdlayer0,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,isrewardable,skinmakeup,trait1vweak,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,islicensed,teamid,trait1vequal,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,facepsdlayer1,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,trait1vstrong,accessorycolourcode2,facialhaircolorcode
1.5,,,,1450101,0,0,287,45098,0,115,1,0,232001,0,0,2005,185,5511,145139,0,0,262786,74,0,0,0,26540,2,0,0,143,4244098,1,1,0,0,0,42,0,0,0,2,5510,0,1,0,0,86,160717,525442,0,6
4.0,Marco Alexandre,Marco Silva,Saraiva da Silva,2320000,0,3,45,178609,0,177,3,0,242101,0,0,30,180,5509,144177,0,0,135296,75,1,2,0,178609,3,0,1,144,149632,4,0,0,0,0,38,0,0,0,3,5707,4,4,0,0,82,160237,264320,0,8
1.5,,,,60101,0,9,0,279147,0,154,3,0,223101,0,0,3500,175,5511,145139,0,0,263178,75,0,2,0,26543,2,0,0,149,4235274,7,0,0,0,0,14,0,0,0,2,5510,2,2,0,0,82,161102,528394,0,20
2.0,,,,2080102,0,3,251,267907,0,65,1,0,242102,0,0,1508,191,5506,145139,0,0,262658,75,0,6,0,26540,2,0,0,159,4211202,1,1,0,0,0,21,0,0,0,2,5569,0,1,0,0,85,160949,525314,0,3
3.5,,,,60101,0,2,287,249260,0,182,3,0,223101,0,0,11,179,5511,145139,0,0,4202564,75,0,2,0,26542,2,0,0,160,544836,3,0,0,0,0,21,0,0,0,2,5510,4,2,0,0,83,161459,526404,0,9
1.5,Claus-Dieter,,Wollitz,2080000,0,22,251,249148,0,3011,0,0,261001,0,1,1555,186,5527,139801,0,0,4194944,75,0,2,0,249148,4,0,1,162,524928,1,1,0,300,1,21,0,0,0,4,5566,0,4,0,0,85,160237,525440,0,22
1.0,,,,60101,0,20,289,270087,0,75,3,0,223101,0,0,30,191,5510,145139,0,0,263172,75,0,2,0,26543,2,0,0,165,4235268,7,0,0,0,0,21,0,0,0,2,5566,2,2,0,0,85,161642,528388,0,0
2.5,,,,2120101,0,3,243,102133,0,189,1,0,232001,0,0,2,178,5520,145139,0,0,262656,72,0,0,0,26540,2,0,0,166,4211200,1,0,0,0,0,21,0,0,0,2,5569,0,1,0,0,82,161564,525312,0,8
4.0,,,,60101,0,5,255,140433,0,84,3,0,232001,0,0,2,178,5527,145139,0,0,263170,75,0,0,0,26541,2,0,0,169,4251650,6,1,0,0,0,13,0,0,0,2,5718,0,1,0,0,82,161194,528386,0,23
2.0,,,,30301,0,20,246,269708,0,122,1,0,223101,0,0,2015,184,5511,145139,0,0,131584,75,0,0,0,26540,3,0,0,171,131584,1,0,0,0,0,21,0,0,0,3,5566,0,1,0,0,82,161312,263168,0,3
3.5,,,,60101,0,0,259,73191,0,0,3,0,223101,0,0,12,186,5552,145139,0,0,263169,75,0,2,0,26538,2,0,0,175,4218881,2,0,0,0,0,34,0,0,0,2,5522,4,1,0,0,84,161339,528385,0,0
1.5,Steven,,Pressley,60101,0,1,30,3448,0,666,0,0,223101,0,0,22,183,5511,142807,0,0,263172,70,0,2,0,3448,2,0,1,180,4218884,1,0,0,0,1,42,0,0,0,2,5506,0,2,0,0,83,161669,528388,0,24
2.5,Jim,,Goodwin,2010000,0,24,289,251865,0,65,0,0,232101,0,0,2008,183,5529,145769,0,0,263168,75,0,2,0,251865,2,0,1,181,4202496,2,0,0,0,1,25,0,0,0,2,5567,0,1,0,0,82,160845,528384,0,24
3.5,Vincenzo,,Italiano,1130000,0,9,251,251172,0,0,1,0,242101,0,0,1509,171,5509,144328,0,0,66180,75,0,2,0,251172,3,0,1,189,66180,3,1,0,0,0,27,0,0,0,3,5566,0,3,0,0,88,161349,132228,0,9
3.0,Thomas,,Letsch,80301,0,0,287,250582,0,0,0,0,242101,0,0,11,190,5555,140935,0,0,66176,75,0,2,0,250582,4,0,1,191,98944,5,0,0,0,1,21,0,0,0,4,5522,0,4,0,0,84,161503,132224,0,23
2.5,,,,2150101,0,9,289,250660,0,122,3,0,250101,0,0,2006,175,5509,145139,0,0,263296,75,0,2,0,26539,4,0,0,200,4251776,1,1,0,0,0,27,0,0,0,4,5505,4,4,0,0,82,161700,528512,0,9
3.0,Giovanni,,Stroppa,2310000,0,5,255,104061,0,103,0,0,252102,0,0,4006,180,5509,140720,0,0,4195072,80,0,2,0,104061,2,0,1,205,541440,3,0,0,0,1,27,0,0,0,2,5567,0,1,0,0,83,161698,525568,0,22
3.0,Paolo,,Zanetti,2320000,0,19,260,251109,0,77,3,0,244101,0,0,2016,184,5511,146160,0,0,270342,75,1,2,0,251109,1,0,1,206,4214790,4,0,0,0,0,27,0,0,0,5,5505,4,1,0,0,83,161349,526342,0,5
2.5,Jürgen,,Säumel,60201,0,5,253,75688,0,189,0,0,242101,0,0,3517,184,5509,146792,0,0,262794,75,0,2,0,75688,2,0,1,209,4227722,2,0,0,0,1,4,0,0,0,2,5718,0,2,0,0,82,161470,525450,0,6
2.0,Mario,,Kovacevic,30301,0,3,246,79143,0,161,0,0,223101,0,0,3500,180,5555,143390,0,0,270336,75,0,0,0,79143,3,0,1,211,4247552,1,0,0,0,1,10,0,0,0,3,5718,0,1,0,0,82,161684,526336,0,3
2.5,,,,2150000,0,0,253,250201,0,0,3,0,232001,0,0,2020,182,5509,145139,0,0,262664,75,0,0,0,26538,1,0,0,217,4227592,2,1,0,0,0,18,0,0,0,1,5713,4,4,0,0,83,161325,525320,0,8
4.0,,,,2320101,0,0,245,157767,0,63,3,0,240201,0,0,1548,175,5509,145139,0,0,131712,66,0,2,0,26543,4,0,0,219,131712,7,1,0,0,0,27,0,0,0,4,5567,2,3,0,0,82,161331,263296,0,23
3.0,Besnik,,Hasi,2150101,6,23,30,249055,0,172,0,0,250101,0,0,1533,177,5718,142155,0,0,66052,75,0,6,0,249055,3,0,1,229,66052,1,1,0,0,1,1,0,0,0,3,5524,0,4,0,0,82,161607,132100,0,9
3.0,Andries,,Ulderink,60101,0,9,0,77670,0,161,0,0,223101,0,0,1510,180,5707,141273,0,0,131600,75,0,2,0,77670,1,0,1,230,147984,9,0,0,0,1,34,0,0,0,1,5507,0,1,0,0,83,161579,263184,0,9
3.0,Nicky,,Hayen,2320101,0,8,246,254486,0,181,0,0,242101,0,0,2020,188,5707,145308,0,0,66176,75,0,2,0,254486,3,0,1,231,115328,8,0,0,0,1,7,0,0,0,3,5506,0,4,0,0,85,161228,132224,0,9
3.0,Mircea,,Rednic,2080101,0,24,255,250122,0,40,0,0,252102,0,0,3513,175,5509,138604,0,0,4195328,75,0,2,0,250122,4,0,1,232,565248,3,0,0,0,1,39,0,0,0,4,5522,0,5,0,0,82,160900,528384,0,23
4.0,Bruno Miguel,Bruno Lage,Silva do Nascimento,30301,0,9,0,249078,0,693,1,0,223101,0,0,1515,190,5557,143751,0,0,66050,75,1,0,0,249078,3,0,1,234,98818,4,0,0,0,0,38,0,0,0,4,5717,0,1,0,0,84,160215,132098,0,22
4.0,Francesco,,Farioli,40101,0,0,45,263710,0,285,0,0,232001,0,0,3514,174,5509,148467,0,0,131713,75,0,0,0,263710,3,0,1,236,164481,5,1,0,0,1,27,0,0,0,3,5566,0,2,0,0,87,160967,263297,0,0
3.5,Rui Manuel,Rui Borges,Gomes Borges,2150000,0,9,252,264687,0,199,0,0,242201,0,0,42,173,5555,145633,0,0,131712,75,0,2,0,264687,5,0,1,237,164480,4,0,0,0,1,38,0,0,0,5,5724,0,5,0,0,88,161511,263296,0,23
4.5,Diego,,Simeone,1140401,0,22,243,5571,0,196,1,0,250101,0,0,1517,177,5509,141545,0,0,262784,77,1,2,0,5571,4,0,1,240,4227712,6,1,0,0,0,52,0,0,0,4,5500,0,1,0,0,81,156759,525440,0,23
4.5,Hans-Dieter,,Flick,60201,0,6,243,254149,0,150,3,0,252102,0,0,3510,177,5558,139656,0,0,66176,75,0,6,0,254149,3,0,1,241,115328,2,0,0,0,0,21,0,0,0,4,5522,4,4,0,0,82,161333,132224,0,8
2.5,Antonio,Antonio Hidalgo,Hidalgo Morilla,2150101,6,23,288,257581,0,160,0,0,233101,0,0,1519,183,5718,144751,0,0,262792,75,0,3,0,257581,4,0,1,242,4227720,9,0,0,0,1,45,0,0,0,4,5713,0,4,0,0,81,161698,525448,0,22
4.5,Xabier,Xabi Alonso,Alonso Olano,2150000,0,3,259,262757,0,149,0,0,232001,0,0,3516,183,5529,145774,0,0,132224,75,0,0,0,262757,2,0,1,243,188544,3,0,0,0,0,45,0,0,0,3,5566,0,1,0,0,82,161668,266368,0,7
