competitionid,artificialkey,adsponserid,isapproved,dynamicimageid
308,279,10,1,1135
308,280,40,1,0
308,281,36,1,0
308,282,68,1,0
350,283,38,1,0
350,284,37,1,0
350,285,49,1,0
350,286,6,1,847
350,287,6,1,848
350,288,6,1,849
350,289,36,1,0
350,290,39,1,0
350,291,10,1,1135
350,292,40,1,0
353,293,6,1,203
353,294,38,1,0
353,295,37,1,0
353,296,49,1,0
353,297,39,1,0
353,298,295,1,0
353,299,10,1,1135
353,300,40,1,0
353,301,36,1,0
353,302,68,1,0
360,303,4,1,88
360,304,4,1,80
360,305,340,1,0
360,306,4,1,83
360,307,190,1,0
360,308,4,1,621
360,309,4,1,86
360,310,4,1,90
360,311,38,1,0
360,312,37,1,0
361,313,4,1,88
361,314,4,1,80
361,315,340,1,0
361,316,4,1,83
361,317,190,1,0
361,318,4,1,621
361,319,4,1,86
361,320,4,1,90
361,321,38,1,0
361,322,37,1,0
390,323,9,1,1137
390,324,38,1,0
390,325,37,1,0
390,326,49,1,0
390,327,297,1,0
390,328,6,1,1138
390,329,39,1,0
390,330,10,1,1135
390,331,40,1,0
390,332,36,1,0
414,333,4,1,88
414,334,4,1,80
414,335,340,1,0
414,336,4,1,83
414,337,190,1,0
414,338,4,1,621
414,339,4,1,86
414,340,4,1,90
414,341,38,1,0
414,342,37,1,0
820,343,81,1,188
821,344,81,1,189
822,345,81,1,188
840,346,81,1,190
841,347,81,1,191
842,348,81,1,192
843,349,81,1,193
844,350,81,1,194
845,351,81,1,195
846,352,81,1,196
847,353,81,1,189
848,354,81,1,189
849,355,81,1,189
850,356,81,1,189
851,357,81,1,188
860,358,81,1,190
861,359,81,1,195
862,360,81,1,196
863,361,81,1,193
864,362,81,1,194
865,363,81,1,191
866,364,81,1,192
867,365,81,1,188
868,366,81,1,189
869,367,81,1,189
870,368,81,1,189
871,369,81,1,189
970,370,24,1,118
970,371,38,1,0
970,372,37,1,0
970,373,24,1,118
970,374,49,1,0
970,375,39,1,0
970,376,295,1,0
970,377,24,1,118
970,378,10,1,1135
970,379,40,1,0
980,380,24,1,119
980,381,38,1,0
980,382,37,1,0
980,383,24,1,119
980,384,49,1,0
980,385,39,1,0
980,386,295,1,0
980,387,24,1,119
980,388,10,1,1135
980,389,40,1,0
980,390,81,1,95
990,391,24,1,988
990,392,38,1,0
990,393,37,1,0
990,394,24,1,988
990,395,49,1,0
990,396,39,1,0
990,397,295,1,0
990,398,24,1,988
990,399,10,1,1135
990,400,40,1,0
990,401,14,1,0
990,402,81,1,43
1003,403,128,1,0
1003,404,38,1,0
1003,405,287,1,0
1003,406,3,1,38
1003,407,10,1,661
1003,408,8,1,23
1003,409,139,1,0
1003,410,8,1,1139
1003,411,277,1,0
1003,412,140,1,0
1003,413,142,1,0
1003,414,81,1,69
1014,415,128,1,0
1014,416,38,1,0
1014,417,287,1,0
1014,418,3,1,38
1014,419,10,1,661
1014,420,5,1,464
1014,421,4,1,1140
1014,422,1,1,1141
1014,423,140,1,0
1014,424,24,1,1143
1014,425,24,1,1144
1014,426,81,1,332
1015,427,128,1,0
1015,428,38,1,0
1015,429,287,1,0
1015,430,3,1,38
1015,431,10,1,661
1015,432,140,1,0
1015,433,24,1,331
1015,434,24,1,1142
1015,435,81,1,105
-1,436,0,1,0
-1,437,0,1,0
-1,438,0,1,0
2076,439,81,1,75
2136,440,81,1,221
-1,441,0,1,0
-1,442,0,1,0
-1,443,0,1,0
-1,444,0,1,0
-1,445,0,1,0
-1,446,0,1,0
-1,447,0,1,0
-1,448,0,1,0
-1,449,0,1,0
-1,450,0,1,0
-1,451,0,1,0
3005,452,24,1,448
3005,453,38,1,0
3005,454,37,1,0
3005,455,24,1,448
3005,456,49,1,0
3005,457,39,1,0
3005,458,295,1,0
3005,459,24,1,448
3005,460,10,1,1135
3005,461,40,1,0
3005,462,81,1,202
83,463,81,1,424
451,464,24,1,433
451,465,38,1,0
451,466,37,1,0
451,467,49,1,0
451,468,4,1,172
451,469,5,1,440
451,470,6,1,770
451,471,6,1,1266
451,472,6,1,436
451,473,39,1,0
451,474,81,1,640
2216,475,8,1,771
2216,476,6,1,772
2216,477,5,1,773
2216,478,38,1,0
2216,479,37,1,0
2216,480,8,1,771
2216,481,6,1,772
2216,482,5,1,773
2216,483,49,1,0
2216,484,39,1,0
-1,485,0,1,0
2218,486,6,1,774
2218,487,8,1,775
2218,488,6,1,776
2218,489,38,1,0
2218,490,37,1,0
2218,491,6,1,774
2218,492,8,1,775
2218,493,6,1,776
2218,494,49,1,0
2218,495,39,1,0
2218,496,81,1,791
-1,497,0,1,0
211,498,81,1,786
80,499,38,1,0
80,500,37,1,0
80,501,49,1,0
80,502,24,1,832
80,503,24,1,833
80,504,24,1,834
80,505,24,1,835
80,506,39,1,0
80,507,295,1,0
80,508,10,1,1135
2221,509,6,1,851
2221,510,5,1,1044
2221,511,5,1,852
2221,512,38,1,0
2221,513,37,1,0
2221,514,6,1,851
2221,515,5,1,1044
2221,516,5,1,852
2221,517,49,1,0
2221,518,39,1,0
-1,519,0,1,0
227,520,282,1,0
227,521,97,1,0
227,522,257,1,0
227,523,282,1,0
227,524,97,1,0
227,525,257,1,0
227,526,282,1,0
227,527,97,1,0
227,528,257,1,0
227,529,282,1,0
227,530,97,1,0
227,531,257,1,0
227,532,81,1,856
2215,533,6,1,1031
2215,534,8,1,1109
2215,535,6,1,923
2215,536,8,1,927
2215,537,8,1,925
2215,538,6,1,1031
2215,539,38,1,0
2215,540,37,1,0
2215,541,49,1,0
2215,542,39,1,0
2215,543,81,1,894
-1,544,0,1,0
2222,545,81,1,1017
2222,546,6,1,1264
2222,547,6,1,1223
2222,548,5,1,1019
2222,549,38,1,0
2222,550,37,1,0
2222,551,6,1,1264
2222,552,6,1,1018
2222,553,8,1,529
2222,554,49,1,0
2222,555,39,1,0
3000,556,81,1,3
3001,557,81,1,9
3010,558,38,1,0
3010,559,37,1,0
3010,560,49,1,0
3010,561,39,1,0
3010,562,295,1,0
3010,563,10,1,1135
3010,564,40,1,0
3010,565,36,1,0
3010,566,68,1,0
3010,567,38,1,0
3010,568,14,1,0
3010,569,37,1,0
3010,570,20,1,0
3011,571,38,1,0
3011,572,37,1,0
3011,573,49,1,0
3011,574,39,1,0
3011,575,295,1,0
3011,576,10,1,1135
3011,577,40,1,0
3011,578,36,1,0
3011,579,68,1,0
3011,580,38,1,0
3011,581,14,1,0
3011,582,37,1,0
3011,583,20,1,0
3020,584,38,1,0
3020,585,37,1,0
3020,586,49,1,0
3020,587,39,1,0
3020,588,295,1,0
3020,589,10,1,1135
3020,590,40,1,0
3020,591,36,1,0
3020,592,68,1,0
3020,593,38,1,0
3020,594,14,1,0
3020,595,37,1,0
3020,596,20,1,0
3021,597,38,1,0
3021,598,37,1,0
3021,599,49,1,0
3021,600,39,1,0
3021,601,295,1,0
3021,602,10,1,1135
3021,603,40,1,0
3021,604,36,1,0
3021,605,68,1,0
3021,606,38,1,0
3021,607,14,1,0
3021,608,37,1,0
3021,609,20,1,0
3030,610,38,1,0
3030,611,37,1,0
3030,612,49,1,0
3030,613,39,1,0
3030,614,295,1,0
3030,615,10,1,1135
3030,616,40,1,0
3030,617,36,1,0
3030,618,68,1,0
3030,619,38,1,0
3030,620,14,1,0
3030,621,37,1,0
3030,622,20,1,0
3031,623,38,1,0
3031,624,37,1,0
3031,625,49,1,0
3031,626,39,1,0
3031,627,295,1,0
3031,628,10,1,1135
3031,629,40,1,0
3031,630,36,1,0
3031,631,68,1,0
3031,632,38,1,0
3031,633,14,1,0
3031,634,37,1,0
202,635,4,1,88
202,636,4,1,80
202,637,340,1,0
202,638,4,1,83
202,639,190,1,0
202,640,4,1,621
202,641,4,1,86
202,642,4,1,90
202,643,38,1,0
202,644,37,1,0
203,645,4,1,88
203,646,4,1,80
203,647,340,1,0
203,648,4,1,83
203,649,190,1,0
203,650,4,1,621
203,651,4,1,86
203,652,4,1,90
203,653,38,1,0
203,654,37,1,0
68,655,38,1,0
68,656,37,1,0
68,657,49,1,0
68,658,6,1,128
68,659,6,1,128
68,660,6,1,128
68,661,39,1,0
68,662,295,1,0
68,663,10,1,1135
68,664,36,1,0
152,665,6,1,203
152,666,38,1,0
152,667,37,1,0
152,668,49,1,0
152,669,39,1,0
152,670,295,1,0
152,671,10,1,1135
152,672,40,1,0
152,673,36,1,0
152,674,68,1,0
153,675,6,1,203
153,676,38,1,0
153,677,37,1,0
153,678,49,1,0
153,679,39,1,0
153,680,295,1,0
153,681,10,1,1135
153,682,40,1,0
153,683,36,1,0
153,684,68,1,0
