firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,facepsdlayer0,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,sockstylecode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,facepsdlayer1,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Steffen,Schwurbel,30301,0,1,0,64,3,0,2,31,223101,2002,1,179,2076,315,146600,0,0,70,0,0,27078,0,5,0,0,0,0,0,0,1,0,500,188455,2,21,1,0,30,0,1,1
Jasper,de Waart,30301,0,0,0,129,0,0,1,31,223101,2016,1,172,10,315,144814,0,0,70,0,0,27036,0,10,0,0,0,0,0,0,2,0,500,188457,4,34,1,0,30,0,2,0
Torjus,Løken,30301,0,5,0,102,3,0,0,31,223101,2,1,185,41,315,146600,0,0,73,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,188461,4,36,1,0,30,0,4,6
Njål,Flaten,30301,0,1,0,92,3,0,1,31,223101,18,2,172,41,315,146600,0,0,75,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,188462,0,36,1,0,30,0,3,1
Guilherme,Santoso,30301,0,0,37,37,3,0,1,31,223101,2505,1,175,308,315,146600,0,0,70,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,188465,0,38,1,0,30,0,2,0
Ignacio,Muñiz Villate,30301,0,0,0,65,4,0,2,31,223101,1505,2,179,54,315,146600,0,0,84,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,188474,4,45,1,0,30,0,3,0
Ludvig,Walfridsson,30301,0,6,243,129,3,0,1,31,223101,20,0,180,56,315,146814,0,0,76,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,188475,2,46,1,0,30,0,2,3
Kristoffer,Frohlander,30301,0,5,0,16,3,0,1,31,223101,8,1,182,56,315,146600,0,0,70,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,188476,2,46,1,0,30,0,1,1
Henry,McDillon,30301,0,6,0,75,0,0,1,31,223101,3505,2,178,65,315,141597,0,0,73,0,0,27083,0,1,0,0,0,0,0,0,2,0,500,209677,2,25,1,0,30,0,2,6
Conor,O'Connelly,30301,0,3,0,37,3,0,1,31,223101,2016,0,177,65,315,142583,0,0,72,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,209678,2,25,1,0,30,0,2,0
Sheamus,McArthur,30301,0,7,0,29,3,0,2,31,223101,13,1,180,65,315,142920,0,0,78,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,209679,0,25,1,0,30,0,2,7
Fedder,Gotthard,30301,0,3,289,39,0,0,1,31,223101,4001,1,187,80,315,144078,0,0,81,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209683,0,4,1,0,30,0,5,3
Lutz,Gersthofer,30301,0,2,289,65,3,0,0,31,223101,2003,1,174,80,315,142288,0,0,75,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,209684,4,4,1,0,30,0,3,1
Heribert,Allmaier,30301,0,3,38,92,3,0,1,31,223101,1501,2,189,80,315,141043,0,0,77,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,209685,0,4,1,0,30,0,4,3
Harald,Fimmler,30301,0,7,0,42,3,0,1,31,223101,2000,0,179,19,315,145614,0,0,77,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209686,4,21,1,0,30,0,2,7
Jascha,Zurheide,30301,0,2,0,155,3,0,0,31,223101,3500,1,182,19,315,144318,0,0,75,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209687,2,21,1,0,30,0,2,6
Rafael,Ruibal Losada,30301,0,0,38,57,3,0,0,31,223101,2004,1,181,54,315,145477,0,0,76,0,0,27079,0,9,0,0,0,0,0,0,5,0,500,209689,4,45,1,0,30,0,1,0
Ansgar,von Hauenstein,30301,0,9,28,93,1,0,1,31,223101,37,2,192,19,315,143329,0,0,83,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209690,0,21,1,0,30,0,4,0
Daniel,Soengas Bello,30301,0,0,39,150,0,0,1,31,223101,0,2,177,53,315,146212,0,0,82,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,209692,4,45,1,0,30,0,3,0
Álvaro,Arias Romera,30301,0,0,289,118,3,0,1,31,223101,7,1,179,53,315,144890,0,0,76,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209693,4,45,1,0,30,0,2,0
Federico,Ramos Navarro,30301,0,0,287,115,0,0,1,31,223101,2010,2,172,54,315,145689,0,0,70,0,0,27077,0,4,0,0,0,0,0,0,4,0,500,209694,4,45,1,0,30,0,2,0
Laurent,Glaisyer,30301,0,5,0,115,3,0,1,31,223101,2022,1,183,189,315,143367,0,0,76,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209712,4,47,1,0,30,0,2,6
Dario,Nuessli,30301,0,0,0,119,0,0,0,31,223101,528,0,178,189,315,142778,0,0,71,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,209714,4,47,1,0,30,0,2,0
Eufemio,Lafranchi,30301,0,3,0,147,3,0,1,31,223101,1517,0,186,189,315,144050,0,0,76,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,209716,0,47,1,0,30,0,4,3
Gwidon,Pietrzykowski,30301,0,3,28,0,3,0,0,31,223101,0,1,187,66,315,141500,0,0,79,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209777,2,37,1,0,30,0,5,3
Nikodem,Dworaczyk,30301,0,0,287,77,3,0,1,31,223101,22,1,174,66,315,139435,0,0,80,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209778,2,37,1,0,30,0,3,0
Kasper,Krosby,30301,0,3,287,83,0,0,1,31,223101,12,2,186,56,315,143466,0,0,83,0,0,27083,0,1,0,0,0,0,0,0,2,0,500,209788,2,46,1,0,30,0,5,0
Pontus,Ortendhal,30301,0,5,289,0,3,0,0,31,223101,18,1,184,56,315,142602,0,0,70,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,209790,4,46,1,0,30,0,1,0
Sven,Solomonsson,30301,0,1,0,154,3,0,2,31,223101,6,1,176,56,315,144151,0,0,68,0,0,27067,0,2,0,0,0,0,0,0,3,0,500,209791,0,46,1,0,30,0,2,1
Graham,Boverick,30301,0,0,0,104,0,0,0,31,223101,2027,2,185,351,315,144978,0,0,80,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209792,0,195,1,0,30,0,5,0
Pat,Framlow,30301,0,3,243,74,3,0,1,31,223101,3505,1,177,351,315,144763,0,0,73,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209793,4,195,1,0,30,0,2,0
Josh,Brithwell,30301,0,2,287,43,3,0,2,31,223101,1517,0,178,351,315,142142,0,0,68,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209794,2,195,1,0,30,0,2,6
Buk-Chol,Choi,30301,0,0,0,115,4,0,1,31,223101,519,1,170,83,315,144100,0,0,72,0,0,27115,0,9,0,0,0,0,0,0,3,0,500,209808,3,167,1,0,30,0,8,0
Yoon-Fang,Lee,30301,0,0,0,137,3,0,0,31,223101,522,0,178,83,315,140217,0,0,71,0,0,27111,0,9,0,0,0,0,0,0,2,0,500,209809,3,167,1,0,30,0,1,0
Sébastien,Mittré,30301,0,3,0,115,3,0,0,31,223101,2010,0,178,16,315,143061,0,0,74,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,209821,0,18,1,0,30,0,2,3
Jean-Daniel,Lacagne,30301,0,6,0,65,3,0,1,31,223101,1511,2,183,17,315,142555,0,0,71,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209822,4,18,1,0,30,0,1,6
Andriy,Markinov,30301,0,1,288,37,0,0,1,31,223101,1,1,184,319,315,143915,0,0,77,0,0,27093,0,4,0,0,0,0,0,0,3,0,500,209823,2,40,1,0,30,0,2,1
Alexey,Potrepkin,30301,0,2,0,29,3,0,1,31,223101,2005,1,177,319,315,145045,0,0,77,0,0,27084,0,7,0,0,0,0,0,0,3,0,500,209825,0,40,1,0,30,0,3,6
Vladimir,Sorpionov,30301,0,5,287,112,3,0,1,31,223101,19,1,184,319,315,142675,0,0,79,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,209826,2,40,1,0,30,0,2,6
Roald,Wikborg,30301,0,0,0,8,3,0,1,31,223101,2000,0,178,41,315,143353,0,0,66,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,209847,0,36,1,0,30,0,1,0
Lukas,Papwick,30301,0,1,286,122,1,0,1,31,223101,2000,1,169,13,315,143894,0,0,66,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209867,0,14,1,0,30,0,7,1
Ramsey,Doel,30301,0,6,243,37,3,0,1,31,223101,2012,1,175,13,315,143058,0,0,73,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,209870,0,14,1,0,30,0,2,6
Austen,Bayliffe,30301,0,9,0,17,0,0,1,31,223101,10,1,181,13,315,145021,0,0,77,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209882,0,95,1,0,30,0,2,1
Gavin,Monksfield,30301,0,3,0,138,3,0,1,31,223101,4001,1,183,60,315,147399,0,0,69,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,209883,4,25,1,0,30,0,1,3
Laurits,Tyllesen,30301,0,0,287,75,3,0,1,31,223101,3501,1,177,1,315,143578,0,0,73,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209891,4,13,1,0,30,0,2,0
Afonso,Masarenhas,30301,0,0,287,61,3,0,0,31,223101,2507,1,189,308,315,143199,0,0,83,0,0,27079,0,9,0,0,0,0,0,0,5,0,500,209897,4,38,1,0,30,0,5,0
Arcibaldo,Pombal,30301,0,0,0,16,4,0,1,31,223101,2505,0,179,308,315,144700,0,0,67,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,209899,4,38,1,0,30,0,1,0
Baptiste,Alacoque,30301,0,6,289,65,3,0,1,31,223101,1509,1,191,16,315,143665,0,0,84,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209902,4,18,1,0,30,0,5,6
Philippe,Daboussier,30301,0,3,28,57,1,0,2,31,223101,2019,1,184,17,315,146020,0,0,72,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209904,0,18,1,0,30,0,1,3
Viggo,Toksvig,30301,0,3,288,111,0,0,2,31,223101,18,0,179,1,315,144041,0,0,78,0,0,27036,0,10,0,0,0,0,0,0,2,0,500,209913,4,13,1,0,30,0,2,3
Klemens,Pilegaard,30301,0,2,0,25,3,0,1,31,223101,25,0,187,1,315,141960,0,0,82,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,209914,4,13,1,0,30,0,5,1
Ian,Lowcroft,30301,0,0,286,2,4,0,0,31,223101,1005,1,185,60,315,143073,0,0,84,0,0,27076,0,9,0,0,0,0,0,0,9,0,500,209923,1,14,1,0,30,0,6,0
Grant,Lindum,30301,0,6,287,135,3,0,2,31,223101,16,1,183,60,315,145037,0,0,79,0,0,27099,0,5,0,0,0,0,0,0,2,0,500,209926,0,14,1,0,30,0,2,6
Gianluca,Del Tarano,30301,0,3,38,119,0,0,1,31,223101,2027,1,180,31,315,144452,0,0,72,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209927,0,27,1,0,30,0,1,3
Filippo,Giacoletti,30301,0,3,0,115,3,0,2,31,223101,1,1,176,31,315,145043,0,0,69,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,209928,4,27,1,0,30,0,1,3
Ashley,Boroughbridge,30301,0,1,0,98,3,0,0,31,223101,2518,0,182,60,315,146254,0,0,69,0,0,27080,0,4,0,0,0,0,0,0,4,0,500,209931,0,42,1,0,30,0,2,3
Liam,Keymer,30301,0,0,0,21,3,0,1,31,223101,2508,1,177,60,315,140177,0,0,72,0,0,27081,0,4,0,0,0,0,0,0,5,0,500,209932,4,14,1,0,30,0,2,0
Gijsbert,Declerck,30301,0,1,0,119,3,0,2,31,223101,4,1,185,4,315,142450,0,0,77,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,209938,2,7,1,0,30,0,5,1
Jochem,Van Vosselen,30301,0,12,0,102,0,0,1,31,223101,25,2,175,4,315,141224,0,0,72,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,209939,0,7,1,0,30,0,3,7
Siem,Decauwer,30301,0,0,39,13,3,0,0,31,223101,529,1,188,4,315,145198,0,0,74,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,209940,4,7,1,0,30,0,4,0
Joep,Druppers,30301,0,3,243,44,0,0,2,31,223101,1,1,182,10,315,144339,0,0,80,0,0,27083,0,1,0,0,0,0,0,0,2,0,500,209941,2,34,1,0,30,0,3,3
Luuk,Hoebacke,30301,0,6,0,29,3,0,1,31,223101,2515,0,191,10,315,142161,0,0,85,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,209942,4,34,1,0,30,0,5,3
Pim,van Tilburgh,30301,0,0,0,70,1,0,0,31,223101,508,1,179,10,315,143762,0,0,69,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,209943,0,34,1,0,30,0,1,0
Fuad,Al-Rishani,30301,0,0,28,16,3,0,1,31,223101,2510,0,174,350,315,140895,0,0,62,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,209944,0,183,1,0,30,0,1,0
Abdulmajeed,Al-Reshedi,30301,0,0,0,22,3,0,1,31,223101,2517,1,183,350,315,145871,0,0,78,0,0,27106,0,3,0,0,0,0,0,0,4,0,500,209945,0,183,1,0,30,0,2,0
Mazhar,Al-Amur,30301,0,0,287,90,0,0,0,31,223101,2504,1,172,350,315,143800,0,0,65,0,0,27093,0,4,0,0,0,0,0,0,3,0,500,209946,2,183,1,0,30,0,2,0
Alvaro,Aldgate,30301,0,3,0,8,0,0,1,31,223101,1509,1,177,39,315,145627,0,0,73,0,0,27037,0,3,0,0,0,0,0,0,5,0,500,210589,4,95,1,0,30,0,3,3
Wilson,Mountland,30301,0,2,0,92,1,0,0,31,223101,2014,1,182,39,315,144606,0,0,71,0,0,27074,0,2,0,0,0,0,0,0,3,0,500,210590,0,95,1,0,30,0,1,1
Jefferson,Robertford,30301,0,0,28,119,3,0,1,31,223101,4005,0,175,39,315,141639,0,0,82,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,210594,4,95,1,0,30,0,3,0
Oliver Benito,Ledesma,30301,0,3,243,149,0,0,1,31,223101,1512,2,174,353,315,144751,0,0,71,0,0,27077,0,4,0,0,0,0,0,0,4,0,500,214502,4,52,1,0,30,0,2,0
Gabriel,Santiseban,30301,0,0,28,114,3,0,1,31,223101,1516,1,175,353,315,144752,0,0,75,0,0,27072,0,3,0,0,0,0,0,0,3,0,500,214865,4,52,1,0,30,0,3,0
Jerónimo,Santarelli,30301,0,0,287,156,4,0,2,31,223101,2500,1,183,353,315,144250,0,0,75,0,0,27073,0,3,0,0,0,0,0,0,3,0,500,214866,4,52,1,0,30,0,2,0
Maximiliano,Recobedo,30301,0,0,0,119,0,0,1,31,223101,528,2,178,353,315,144568,0,0,75,0,0,27077,0,4,0,0,0,0,0,0,4,0,500,214867,4,52,1,0,30,0,2,0
Yusri,Kao,30301,0,0,0,111,4,0,1,31,223101,509,1,176,76,315,141224,0,0,73,0,0,27029,0,9,0,0,0,0,0,0,4,0,500,221033,3,184,1,0,30,0,1,0
Dawud,Al-Habash,30301,0,0,243,29,0,0,1,31,223101,2506,1,174,76,315,144659,0,0,76,0,0,27093,0,4,0,0,0,0,0,0,3,0,500,221034,2,150,1,0,30,0,1,0
Shahzad,Abu Shakra,30301,0,0,243,114,3,0,1,31,223101,1518,1,177,76,315,142525,0,0,80,0,0,27106,0,3,0,0,0,0,0,0,4,0,500,221035,0,182,1,0,30,0,1,0
Hoo-gwo,Xiang,30301,0,0,0,128,4,0,1,31,223101,519,1,167,2012,315,144247,0,0,62,0,0,27030,0,9,0,0,0,0,0,0,3,0,500,221037,1,155,1,0,30,0,3,0
Azlan,Hamberi,30301,0,0,0,105,4,0,0,31,223101,538,0,176,76,315,144772,0,0,72,0,0,27115,0,9,0,0,0,0,0,0,3,0,500,221045,3,173,1,0,30,0,1,0
Lamon,Darawan,30301,0,0,0,16,3,0,0,31,223101,543,1,177,76,315,144700,0,0,73,0,0,27113,0,3,0,0,0,0,0,0,4,0,500,221047,3,188,1,0,30,0,3,0
Radovan,Palenković,2190501,6,23,287,102,4,0,1,31,250202,22,1,197,80,315,141294,0,0,92,3,0,27073,0,3,0,0,0,0,0,0,3,0,500,221049,4,51,5,0,30,0,5,22
Matthew,Mzizi,30301,0,0,0,28,0,0,1,31,223101,1009,2,181,76,315,143781,0,0,82,0,0,27070,0,9,0,0,0,0,0,0,7,0,500,221100,3,140,1,0,30,0,2,0
Vyacheslav,Bondartchuk,30301,0,3,243,66,3,0,1,31,223101,1503,1,177,76,315,144289,0,0,77,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,221118,2,49,1,0,30,0,2,6
Leonidas,Lambrakis,30301,0,0,0,103,0,0,1,31,223101,2517,1,181,63,315,142340,0,0,77,0,0,27051,0,3,0,0,0,0,0,0,4,0,500,221119,4,22,1,0,30,0,2,0
Regis,Graver,30301,0,0,0,280,2,0,1,31,223101,1007,2,185,60,315,143541,0,0,84,0,0,27068,0,3,0,0,0,0,0,0,8,0,500,221153,1,148,1,0,30,0,5,0
Enis,Balbay,30301,0,0,288,30,0,0,1,31,223101,2511,1,177,68,315,143943,0,0,72,0,0,27092,0,5,0,0,0,0,0,0,2,0,500,222948,0,48,1,0,30,0,2,0
Feridun,Doğançay,30301,0,0,0,142,3,0,1,31,223101,1520,2,184,68,315,144535,0,0,77,0,0,27109,0,3,0,0,0,0,0,0,3,0,500,222949,0,48,1,0,30,0,1,0
Anna,Poltavkina,1140503,0,1,0,520,3,0,1,31,223101,7501,1,172,2136,315,147188,0,0,61,0,1,40756,0,1,0,0,0,0,0,0,2,0,500,226904,0,37,1,0,30,0,2,6
Mălin,Butacu,30301,0,0,287,149,3,0,1,31,223101,1518,2,178,330,315,141686,0,0,72,0,0,27084,0,7,0,0,0,0,0,0,3,0,500,237579,0,39,1,0,30,0,2,0
Zamfir,Izbașa,30301,0,0,287,188,0,0,1,31,223101,22,1,181,330,315,142603,0,0,74,0,0,27108,0,6,0,0,0,0,0,0,2,0,500,237583,1,39,1,0,30,0,2,0
Iacob,Săulescu,30301,0,0,0,40,3,0,1,31,223101,9,2,174,330,315,143130,0,0,68,0,0,27078,0,5,0,0,0,0,0,0,1,0,500,237584,2,39,1,0,30,0,2,3
Dragoș,Tismăneanu,30301,0,6,0,16,3,0,1,31,223101,4003,1,177,330,315,141862,0,0,70,0,0,27112,0,5,0,0,0,0,0,0,2,0,500,237585,2,39,1,0,30,0,1,6
Hussain,Al Shamkali,30301,0,0,243,77,0,0,1,15,223101,1526,1,185,350,1,146388,0,0,76,0,0,27108,0,6,0,0,0,0,0,0,2,0,500,241366,1,183,1,0,0,0,5,0
Nazario,Dasmarinas,30301,0,3,0,29,0,0,2,15,223101,1509,1,182,308,1,144866,0,0,74,0,0,27037,0,3,0,0,0,0,0,0,5,0,500,241367,4,38,1,0,0,0,2,3
Ludger,Falck,30301,0,5,0,290,3,0,2,31,223101,16,1,180,80,315,146600,0,0,78,0,0,27110,0,7,0,0,0,0,0,0,2,0,500,241369,4,4,1,0,30,0,2,6
Flemming,Fredskild,30301,0,1,0,117,3,0,0,15,223101,2016,1,188,1,1,146600,0,0,81,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,241370,2,13,1,0,0,0,5,1
Adrian,Gløersen,30301,0,6,28,57,0,0,0,15,223101,3502,1,185,41,1,144643,0,0,83,0,0,27036,0,10,0,0,0,0,0,0,2,0,500,241371,4,36,1,0,0,0,5,6
Albin,Kuniak,30301,0,0,287,105,3,0,1,15,223101,529,0,181,66,1,142819,0,0,70,0,0,27071,0,2,0,0,0,0,0,0,2,0,500,241372,2,37,1,0,0,0,2,0
Thorvald,Oedegaard,30301,0,6,243,77,3,0,1,15,223101,22,2,185,41,1,143047,0,0,86,0,0,27085,0,4,0,0,0,0,0,0,3,0,500,241373,4,36,1,0,0,0,6,6
An-Jol,Park,30301,0,0,0,121,0,0,0,31,223101,510,1,177,83,315,142914,0,0,74,0,0,27028,0,9,0,0,0,0,0,0,4,0,500,241374,3,167,1,0,30,0,2,0
Hai-wang,Sui,30301,0,0,0,102,4,0,1,31,223101,554,0,176,2012,315,142085,0,0,73,0,0,27029,0,9,0,0,0,0,0,0,4,0,500,241503,3,155,1,0,30,0,1,0
Zhi-xiang,Qun,30301,0,0,0,143,4,0,1,31,223101,540,2,174,2012,315,144105,0,0,70,0,0,27031,0,9,0,0,0,0,0,0,5,0,500,241504,3,155,1,0,30,0,2,0
Stefan,Häsenecker,30301,0,0,0,65,3,0,0,31,223101,7,1,184,189,315,144184,0,0,78,0,0,27082,0,2,0,0,0,0,0,0,2,0,500,243325,4,47,1,0,30,0,2,0
